date,moving_avg,airport,seaport,not_specified
2020-01-01,22245.7143,150759,4863,98
2020-01-02,43358.7143,142820,4924,47
2020-01-03,63879.8571,137484,6089,75
2020-01-04,83948.7143,135505,4858,119
2020-01-05,106165.2857,148811,6573,132
2020-01-06,125457.8571,131114,3864,70
2020-01-07,143049.5714,117730,5319,93
2020-01-08,137841.4286,115749,3450,64
2020-01-09,135378.0,126525,3930,92
2020-01-10,136741.0,146158,6889,142
2020-01-11,137824.4286,140258,7658,150
2020-01-12,137636.1429,146816,7252,130
2020-01-13,138305.0,135352,4234,144
2020-01-14,140599.8571,133405,5685,116
2020-01-15,144659.2857,137976,9610,93
2020-01-16,147295.4286,143906,4950,144
2020-01-17,149070.0,157899,7617,95
2020-01-18,151809.5714,159895,7207,141
2020-01-19,153545.5714,157013,9197,140
2020-01-20,155939.5714,149034,7286,168
2020-01-21,160246.5714,159681,9484,190
2020-01-22,164816.8571,173803,5720,148
2020-01-23,169117.7143,174880,4073,153
2020-01-24,167663.8571,151064,4315,55
2020-01-25,163408.2857,135986,1419,49
2020-01-26,160718.2857,142477,4898,145
2020-01-27,160719.2857,154484,1770,241
2020-01-28,159910.7143,161875,1741,79
2020-01-29,158728.2857,166409,4942,43
2020-01-30,154226.4286,145455,2087,51
2020-01-31,153409.8571,139792,9880,46
2020-02-01,153669.7143,138072,1182,19
2020-02-02,153825.5714,144662,3905,44
2020-02-03,149869.5714,125720,3060,23
2020-02-04,144157.4286,116293,7400,17
2020-02-05,135946.4286,111815,2079,23
2020-02-06,129742.2857,103543,621,0
2020-02-07,122591.2857,99046,615,0
2020-02-08,117052.7143,97985,2515,3
2020-02-09,110830.5714,104110,942,4
2020-02-10,105120.7143,88717,117,0
2020-02-11,98801.0,79324,148,0
2020-02-12,92789.2857,71680,155,0
2020-02-13,87462.5714,66751,126,0
2020-02-14,82456.4286,64493,125,0
2020-02-15,77381.4286,64908,70,0
2020-02-16,71518.2857,63937,77,0
2020-02-17,66985.0,57045,56,0
2020-02-18,63121.8571,52287,143,0
2020-02-19,59709.0,47718,227,0
2020-02-20,56686.7143,45543,178,0
2020-02-21,53933.1429,45212,131,0
2020-02-22,50834.4286,43194,93,0
2020-02-23,48034.4286,44352,62,0
2020-02-24,45469.0,38978,165,0
2020-02-25,42955.1429,34669,164,0
2020-02-26,40532.5714,30804,183,0
2020-02-27,38056.4286,28261,127,0
2020-02-28,35833.7143,29676,108,0
2020-02-29,33750.8571,28594,113,0
2020-03-01,31857.4286,31101,59,0
2020-03-02,29836.5714,24905,92,0
2020-03-03,28195.2857,23201,143,0
2020-03-04,26787.5714,20998,135,0
2020-03-05,25579.2857,19823,107,0
2020-03-06,24121.8571,19445,137,0
2020-03-07,22738.8571,18953,73,0
2020-03-08,21319.0,21149,72,0
2020-03-09,20219.4286,17135,165,0
2020-03-10,19366.2857,17293,79,0
2020-03-11,18625.1429,15776,169,0
2020-03-12,17996.8571,15373,159,0
2020-03-13,17341.4286,14855,139,0
2020-03-14,16972.4286,16340,103,0
2020-03-15,16660.5714,18941,97,0
2020-03-16,16346.1429,14985,114,0
2020-03-17,15887.8571,14037,127,0
2020-03-18,15631.5714,14055,96,0
2020-03-19,15048.1429,11420,28,0
2020-03-20,14450.7143,10773,39,0
2020-03-21,13306.7143,8405,30,0
2020-03-22,11631.1429,7284,25,0
2020-03-23,10249.0,5419,5,0
2020-03-24,8970.7143,5200,16,0
2020-03-25,7583.1429,4404,34,0
2020-03-26,6519.7143,3950,54,0
2020-03-27,5546.5714,3939,61,0
2020-03-28,4803.0,3218,12,0
2020-03-29,4155.1429,2754,20,0
2020-03-30,3803.8571,2923,42,0
2020-03-31,3511.7143,3150,20,1
2020-04-01,3259.8571,2660,15,0
2020-04-02,3054.5714,2471,96,0
2020-04-03,2698.8571,1499,11,0
2020-04-04,2389.4286,1057,7,0
2020-04-05,2222.4286,1600,5,0
2020-04-06,2005.2857,1421,24,0
2020-04-07,1750.5714,1340,48,0
2020-04-08,1573.2857,1424,10,0
2020-04-09,1401.7143,1352,14,0
2020-04-10,1398.1429,1453,32,0
2020-04-11,1432.2857,1249,54,0
2020-04-12,1491.2857,2008,10,0
2020-04-13,1495.4286,1465,9,0
2020-04-14,1400.2857,693,29,0
2020-04-15,1469.1429,1897,19,0
2020-04-16,1473.1429,1380,14,0
2020-04-17,1437.0,1228,4,0
2020-04-18,1412.8571,1087,47,0
2020-04-19,1305.8571,1263,6,0
2020-04-20,1347.5714,1751,15,0
2020-04-21,1379.4286,922,23,0
2020-04-22,1331.1429,1528,50,0
2020-04-23,1340.0,1410,46,0
2020-04-24,1305.4286,979,11,0
2020-04-25,1248.4286,692,43,0
2020-04-26,1273.1429,1441,1,0
2020-04-27,1161.1429,951,31,0
2020-04-28,1101.1429,511,14,0
2020-04-29,1131.2857,1763,26,0
2020-04-30,1216.2857,2016,35,0
2020-05-01,1451.8571,2609,30,0
2020-05-02,1577.1429,1569,43,0
2020-05-03,1640.5714,1881,5,0
2020-05-04,1751.2857,1736,21,0
2020-05-05,1809.4286,863,69,0
2020-05-06,1810.2857,1783,12,0
2020-05-07,1648.8571,898,23,0
2020-05-08,1478.7143,1442,6,0
2020-05-09,1422.7143,1210,10,0
2020-05-10,1446.2857,2035,16,0
2020-05-11,1431.1429,1618,33,0
2020-05-12,1395.8571,676,9,0
2020-05-13,1362.7143,1553,10,0
2020-05-14,1419.2857,1290,27,0
2020-05-15,1514.0,2070,41,0
2020-05-16,1582.2857,1672,26,0
2020-05-17,1556.0,1846,21,0
2020-05-18,1575.7143,1763,26,0
