date,positive_rate,imp_inci_rate,indi_inci_rate
2020-01-01,,0.0,0.0
2020-01-02,,0.0,0.0
2020-01-03,,0.0,0.0
2020-01-04,,0.0,0.0
2020-01-05,,0.0,0.0
2020-01-06,,0.0,0.0
2020-01-07,,0.0,0.0
2020-01-08,,0.0,0.0
2020-01-09,,0.0,0.0
2020-01-10,,0.0,0.0
2020-01-11,,0.0,0.0
2020-01-12,,0.0,0.0
2020-01-13,,0.0,0.0
2020-01-14,,0.0,0.0
2020-01-15,,0.0,0.0
2020-01-16,0.0,0.0,0.0
2020-01-17,,0.0,0.0
2020-01-18,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0
2020-01-21,0.05,1.8775323217189186e-06,0.0
2020-01-22,0.015625,1.7993378436735282e-06,0.0
2020-01-23,0.007692307692307693,1.7435818751176918e-06,0.0
2020-01-24,0.016042780748663103,5.260241690571543e-06,0.0
2020-01-25,0.010830324909747292,5.431496159932215e-06,0.0
2020-01-26,0.010178117048346057,7.3923215955586945e-06,0.0
2020-01-27,0.009727626459143967,9.275164448665675e-06,0.0
2020-01-28,0.01172529313232831,1.1096829081090079e-05,6.056194985108391e-06
2020-01-29,0.010622154779969651,1.1087478356318292e-05,6.056194985108391e-06
2020-01-30,0.011611030478955007,1.136796394081838e-05,1.2112389970216782e-05
2020-01-31,0.0096551724137931,9.49622525046294e-06,1.2112389970216782e-05
2020-02-01,0.009708737864077667,9.326826938860785e-06,1.2112389970216782e-05
2020-02-02,0.008982035928143712,7.337820410514363e-06,1.2112389970216782e-05
2020-02-03,0.007396449704142012,5.576021620094495e-06,1.2112389970216782e-05
2020-02-04,0.0043859649122807015,3.833473894042781e-06,6.056194985108391e-06
2020-02-05,0.004081632653061225,4.043663478238014e-06,6.056194985108391e-06
2020-02-06,0.009831460674157303,1.4624067454555712e-05,0.0
2020-02-07,0.007334963325183373,1.3077593722755012e-05,0.0
2020-02-08,0.007322175732217572,1.5750582771562547e-05,0.0
2020-02-09,0.00784313725490196,1.8758690549606188e-05,0.0
2020-02-10,0.007312614259597806,1.956937588367963e-05,0.0
2020-02-11,0.006039689387402933,1.8090332784593235e-05,0.0
2020-02-12,0.006194690265486725,1.9152108783977888e-05,0.0
2020-02-13,0.0017123287671232878,5.799824845289672e-06,0.0
2020-02-14,0.001921229586935639,6.156005491156898e-06,0.0
2020-02-15,0.0011049723756906076,3.2968482131082684e-06,0.0
2020-02-16,0.002249718785151856,0.0,1.2112389970216782e-05
2020-02-17,0.0026720106880427524,0.0,2.4224779940433564e-05
2020-02-18,0.0018509949097639984,0.0,2.4224779940433564e-05
2020-02-19,0.0021986075485525836,0.0,3.633716991065035e-05
2020-02-20,0.001759530791788856,0.0,3.633716991065035e-05
2020-02-21,0.0019743336623889436,0.0,4.844955988086713e-05
2020-02-22,0.0018152938506920807,0.0,4.844955988086713e-05
2020-02-23,0.0017304780445598095,0.0,4.844955988086713e-05
2020-02-24,0.0017746228926353148,0.0,4.844955988086713e-05
2020-02-25,0.002100350058343057,0.0,5.450575486597552e-05
2020-02-26,0.0019464720194647203,0.0,4.844955988086713e-05
2020-02-27,0.00208659363588941,0.0,4.844955988086713e-05
2020-02-28,0.0022916069894013177,7.803720814084156e-06,4.2393364895758736e-05
2020-02-29,0.0036537380550871273,1.6703832694411734e-05,6.66181448361923e-05
2020-03-01,0.0032786885245901644,2.6862945253317573e-05,5.450575486597552e-05
2020-03-02,0.0030881527231892193,2.8293078569879184e-05,4.844955988086713e-05
2020-03-03,0.00318010985834056,2.971974282515875e-05,4.844955988086713e-05
2020-03-04,0.0029214139643587494,3.139881731121461e-05,4.2393364895758736e-05
2020-03-05,0.0037499999999999994,4.408976676513381e-05,4.844955988086712e-05
2020-03-06,0.003426791277258566,3.53869563678828e-05,4.844955988086712e-05
2020-03-07,0.0019960079840319355,2.5608194622279128e-05,2.4224779940433564e-05
2020-03-08,0.0017397355601948502,1.3795196512574323e-05,2.4224779940433564e-05
2020-03-09,0.0014545454545454547,1.4646220542788935e-05,1.8168584955325175e-05
2020-03-10,0.0019409937888198755,3.100054250949392e-05,1.8168584955325175e-05
2020-03-11,0.002365930599369085,4.833252779120348e-05,1.8168584955325175e-05
2020-03-12,0.0017146776406035665,4.960235445842496e-05,1.2112389970216782e-05
2020-03-13,0.0016812373907195695,5.069879843847701e-05,1.2112389970216782e-05
2020-03-14,0.0026263952724885093,0.00010178807722322125,1.2112389970216782e-05
2020-03-15,0.004584151931892599,0.00020327957717847947,1.2112389970216782e-05
2020-03-16,0.006650544135429263,0.0003375299557835758,1.2112389970216782e-05
2020-03-17,0.007794232268121589,0.00048647923236932154,6.056194985108391e-06
2020-03-18,0.011301890893284068,0.0008093955962272254,1.8168584955325175e-05
2020-03-19,0.011159447701910345,0.0009267372110264878,2.4224779940433564e-05
2020-03-20,0.013667792249557806,0.0013761867433150423,3.633716991065035e-05
2020-03-21,0.01452011035283868,0.0017704782174674627,3.633716991065035e-05
2020-03-22,0.014880952380952382,0.002161768797756897,5.450575486597552e-05
2020-03-23,0.016408152800922955,0.0028479714237443585,6.056194985108391e-05
2020-03-24,0.017702496179317375,0.0035559506611845763,6.66181448361923e-05
2020-03-25,0.017779533781114187,0.004163362410785091,5.450575486597552e-05
2020-03-26,0.020114541137030314,0.005048031644377472,6.056194985108391e-05
2020-03-27,0.019843656043295247,0.005378426057398563,4.239336489575874e-05
2020-03-28,0.021200260926288322,0.005990692147737398,5.450575486597552e-05
2020-03-29,0.020955165692007796,0.0069531517154907095,4.239336489575874e-05
2020-03-30,0.018377483443708605,0.006303412328019879,4.2393364895758736e-05
2020-03-31,0.01754966887417218,0.006400208986415881,4.844955988086713e-05
2020-04-01,0.015382097856324661,0.006088926649674312,4.844955988086713e-05
2020-04-02,0.014490339773484346,0.006217535022823862,4.844955988086713e-05
2020-04-03,0.01345514950166113,0.006216074242689546,6.056194985108391e-05
2020-04-04,0.011326097215667769,0.006219765031098824,5.450575486597552e-05
2020-04-05,0.010102580043518805,0.006006955422067657,4.844955988086713e-05
2020-04-06,0.009273356401384084,0.0071636716852841184,4.844955988086713e-05
2020-04-07,0.006761833208114199,0.006725514922236234,3.633716991065034e-05
2020-04-08,0.005810575246949449,0.006933247339567881,4.2393364895758736e-05
2020-04-09,0.004380809915589273,0.0063532401524777635,3.633716991065034e-05
2020-04-10,0.0033854425968336157,0.005600149337315661,2.4224779940433564e-05
2020-04-11,0.002921129503407984,0.004898403483309143,1.8168584955325175e-05
2020-04-12,0.002494512073438435,0.0037148416769856715,2.4224779940433564e-05
2020-04-13,0.0020946795140343527,0.003063615065777618,1.8168584955325175e-05
2020-04-14,0.001874931068710709,0.0026819923371647508,1.8168584955325175e-05
2020-04-15,0.0019068049100226432,0.0026197604790419164,1.2112389970216782e-05
2020-04-16,0.001943508681005442,0.0026335590669676447,6.056194985108391e-06
2020-04-17,0.001859267734553776,0.002264150943396226,6.056194985108391e-06
2020-04-18,0.002013007122948281,0.0017208413001912044,6.056194985108391e-06
2020-04-19,0.004985976939856654,0.0017178441056474125,0.0
2020-04-20,0.004194994937075076,0.0009954210631096952,0.0
2020-04-21,0.004519774011299434,0.0009571209800918835,0.0
2020-04-22,0.004257072232903049,0.0005847953216374269,0.0
2020-04-23,0.004328418774516435,0.0005892751915144372,0.0
2020-04-24,0.004470333243023572,0.0006341154090044388,0.0
2020-04-25,0.00416442772702848,0.0006933210076265311,0.0
2020-04-26,0.001230348598769651,0.0004454342984409799,0.0
2020-04-27,0.00112540192926045,0.0,0.0
2020-04-28,0.0007216308858019124,0.0,0.0
2020-04-29,0.000615637184485943,0.0,0.0
2020-04-30,0.0004593477262287552,0.0,0.0
2020-05-01,0.0002563445270443476,0.0,0.0
2020-05-02,0.000819224467504096,0.0005767012687427913,0.0
2020-05-03,0.001994870333428327,0.0005574136008918618,0.0
2020-05-04,0.0027297543221110098,0.0006765899864682002,0.0
2020-05-05,0.0027820710973724882,0.0006765899864682002,0.0
2020-05-06,0.0031230480949406615,0.0008289124668435013,0.0
2020-05-07,0.00352112676056338,0.001026342798494697,0.0
2020-05-08,0.0034898477157360402,0.0011741682974559687,0.0
2020-05-09,0.002630713581058862,0.000641573994867408,0.0
2020-05-10,0.001348617666891436,0.0006256517205422314,0.0
2020-05-11,0.0007142857142857143,0.0004348771472059143,0.0
2020-05-12,0.0007945967421533572,0.0004440497335701598,0.0
2020-05-13,0.0004268032437046522,0.00022899015342340277,0.0
2020-05-14,0.0,0.0,0.0
2020-05-15,0.0,0.0,0.0
2020-05-16,0.0,0.0,0.0
2020-05-17,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0
2020-05-19,0.0,0.0,0.0
2020-05-20,0.0,0.0,0.0
2020-05-21,0.0005945303210463733,0.00018779342723004695,0.0
2020-05-22,0.0006468305304010349,0.00019047619047619048,0.0
2020-05-23,0.0006684491978609625,0.00020951183741881418,0.0
2020-05-24,0.0006693440428380187,0.00021244954323348207,0.0
2020-05-25,0.000691085003455425,0.00021867483052700635,0.0
2020-05-26,0.0006565988181221273,0.000213903743315508,0.0
2020-05-27,0.0006756756756756757,0.00023747328425552126,0.0
2020-05-28,0.0,0.0,0.0
2020-05-29,0.0007230657989877079,0.0002222716159146477,0.0
2020-05-30,0.0007209805335255948,0.00021335609131640707,0.0
2020-05-31,0.0006939625260235947,0.0002073398299813394,0.0
2020-06-01,0.0014234875444839856,0.0003743215422047539,0.0
2020-06-02,0.001557632398753894,0.00034837136387388956,0.0
2020-06-03,0.0015515903801396431,0.00031575623618566466,0.0
