difference,all,imported,indigenous,fleet
0,2,1,0,1
1,28,24,0,4
2,155,151,2,2
3,126,118,5,3
4,83,62,5,16
5,54,49,5,0
6,60,54,3,3
7,16,13,2,1
8,14,14,0,0
9,10,9,1,0
10,15,11,3,1
11,5,4,1,0
12,6,5,1,0
13,6,6,0,0
14,18,17,1,0
15,59,58,1,0
16,16,15,1,0
17,12,12,0,0
18,15,10,1,4
19,7,6,0,1
20,2,0,2,0
21,3,3,0,0
22,3,3,0,0
23,4,3,1,0
24,5,4,1,0
25,2,2,0,0
26,0,0,0,0
27,1,1,0,0
28,3,2,1,0
29,1,0,1,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,1,1,0,0
