date,hospitalized
2022-01-01,1328
2022-01-02,1348
2022-01-03,1373
2022-01-04,1407
2022-01-05,1433
2022-01-06,1474
2022-01-07,1536
2022-01-08,1580
2022-01-09,1639
2022-01-10,1671
2022-01-11,1741
2022-01-12,1837
2022-01-13,1902
2022-01-14,1969
2022-01-15,2047
2022-01-16,2097
2022-01-17,2160
2022-01-18,2226
2022-01-19,2279
2022-01-20,2316
2022-01-21,2380
2022-01-22,2508
2022-01-23,2594
2022-01-24,2645
2022-01-25,2683
2022-01-26,2775
2022-01-27,2839
2022-01-28,2909
2022-01-29,2956
2022-01-30,3010
2022-01-31,3065
2022-02-01,3125
2022-02-02,3178
2022-02-03,3233
2022-02-04,3303
2022-02-05,3375
2022-02-06,3418
2022-02-07,3467
2022-02-08,3515
2022-02-09,3569
2022-02-10,3652
2022-02-11,3731
2022-02-12,3789
2022-02-13,3839
2022-02-14,3893
2022-02-15,3938
2022-02-16,4005
2022-02-17,4073
2022-02-18,4140
2022-02-19,4213
2022-02-20,4283
2022-02-21,4332
2022-02-22,4376
2022-02-23,4432
2022-02-24,4512
2022-02-25,4580
2022-02-26,4648
2022-02-27,4708
2022-02-28,4764
2022-03-01,4808
2022-03-02,4857
2022-03-03,4928
2022-03-04,4992
2022-03-05,5072
2022-03-06,5115
2022-03-07,5144
2022-03-08,5197
2022-03-09,5274
2022-03-10,5356
2022-03-11,5438
2022-03-12,5500
2022-03-13,5563
2022-03-14,5638
2022-03-15,5677
2022-03-16,5767
2022-03-17,5858
2022-03-18,5933
2022-03-19,6059
2022-03-20,6180
2022-03-21,6278
2022-03-22,6367
2022-03-23,6464
2022-03-24,6603
2022-03-25,6739
2022-03-26,6842
2022-03-27,7045
2022-03-28,7172
2022-03-29,7268
2022-03-30,7431
2022-03-31,7670
2022-04-01,7906
2022-04-02,8310
2022-04-03,8590
2022-04-04,8865
2022-04-05,9146
2022-04-06,9505
2022-04-07,10035
2022-04-08,10541
2022-04-09,11119
2022-04-10,11689
2022-04-11,12319
2022-04-12,12944
2022-04-13,13877
2022-04-14,14858
2022-04-15,15986
2022-04-16,17333
2022-04-17,18630
2022-04-18,20103
2022-04-19,21981
2022-04-20,24455
2022-04-21,27512
2022-04-22,31368
2022-04-23,35566
2022-04-24,40736
2022-04-25,45954
2022-04-26,52290
2022-04-27,61204
2022-04-28,72711
2022-04-29,84616
2022-04-30,100143
2022-05-01,117212
2022-05-02,135062
2022-05-03,158191
2022-05-04,186662
2022-05-05,216641
2022-05-06,252798
2022-05-07,299201
2022-05-08,341477
2022-05-09,381698
2022-05-10,432505
2022-05-11,489629
2022-05-12,555027
2022-05-13,619986
2022-05-14,683900
2022-05-15,752600
2022-05-16,814285
2022-05-17,880049
2022-05-18,965090
2022-05-19,1054451
2022-05-20,1140132
2022-05-21,1224679
2022-05-22,1304100
2022-05-23,1370329
2022-05-24,1452666
2022-05-25,1541951
2022-05-26,1623738
2022-05-27,1718408
2022-05-28,1798917
2022-05-29,1875341
2022-05-30,1935315
2022-05-31,2015853
2022-06-01,2103979
2022-06-02,2180765
2022-06-03,2257128
2022-06-04,2325104
2022-06-05,2387057
2022-06-06,2439916
2022-06-07,2522782
2022-06-08,2602693
2022-06-09,2675328
2022-06-10,2743408
2022-06-11,2822813
2022-06-12,2873217
2022-06-13,2918208
2022-06-14,2984223
2022-06-15,3053011
2022-06-16,3115976
2022-06-17,3171044
2022-06-18,3224529
2022-06-19,3274980
2022-06-20,3310455
2022-06-21,3366706
2022-06-22,3418753
2022-06-23,3466907
2022-06-24,3512491
2022-06-25,3552708
2022-06-26,3592216
2022-06-27,3620701
2022-06-28,3665015
2022-06-29,3706955
2022-06-30,3745779
2022-07-01,3781424
2022-07-02,3816135
2022-07-03,3848719
2022-07-04,3871765
2022-07-05,3907646
2022-07-06,3942112
2022-07-07,3973440
2022-07-08,4003755
2022-07-09,4031783
