date,hospitalized
2022-01-01,1328
2022-01-02,1348
2022-01-03,1373
2022-01-04,1407
2022-01-05,1433
2022-01-06,1474
2022-01-07,1536
2022-01-08,1580
2022-01-09,1639
2022-01-10,1671
2022-01-11,1741
2022-01-12,1837
2022-01-13,1902
2022-01-14,1969
2022-01-15,2047
2022-01-16,2097
2022-01-17,2160
2022-01-18,2226
2022-01-19,2279
2022-01-20,2316
2022-01-21,2380
2022-01-22,2508
2022-01-23,2594
2022-01-24,2645
2022-01-25,2683
2022-01-26,2775
2022-01-27,2839
2022-01-28,2909
2022-01-29,2956
2022-01-30,3010
2022-01-31,3065
2022-02-01,3125
2022-02-02,3178
2022-02-03,3233
2022-02-04,3303
2022-02-05,3375
2022-02-06,3418
2022-02-07,3467
2022-02-08,3515
2022-02-09,3569
2022-02-10,3652
2022-02-11,3731
2022-02-12,3789
2022-02-13,3839
2022-02-14,3893
2022-02-15,3938
2022-02-16,4005
2022-02-17,4073
2022-02-18,4140
2022-02-19,4213
2022-02-20,4283
2022-02-21,4332
2022-02-22,4376
2022-02-23,4432
2022-02-24,4512
2022-02-25,4580
2022-02-26,4648
2022-02-27,4708
2022-02-28,4764
2022-03-01,4808
2022-03-02,4857
2022-03-03,4928
2022-03-04,4992
2022-03-05,5072
2022-03-06,5115
2022-03-07,5144
2022-03-08,5197
2022-03-09,5274
2022-03-10,5356
2022-03-11,5438
2022-03-12,5500
2022-03-13,5563
2022-03-14,5638
2022-03-15,5677
2022-03-16,5767
2022-03-17,5858
2022-03-18,5933
2022-03-19,6059
2022-03-20,6180
2022-03-21,6278
2022-03-22,6367
2022-03-23,6464
2022-03-24,6603
2022-03-25,6739
2022-03-26,6842
2022-03-27,7045
2022-03-28,7172
2022-03-29,7268
2022-03-30,7431
2022-03-31,7670
2022-04-01,7906
2022-04-02,8310
2022-04-03,8590
2022-04-04,8865
2022-04-05,9146
2022-04-06,9505
2022-04-07,10035
2022-04-08,10541
2022-04-09,11119
2022-04-10,11689
2022-04-11,12319
2022-04-12,12944
2022-04-13,13877
2022-04-14,14858
2022-04-15,15986
2022-04-16,17333
2022-04-17,18630
2022-04-18,20103
2022-04-19,21981
2022-04-20,24455
2022-04-21,27512
2022-04-22,31368
2022-04-23,35566
2022-04-24,40736
2022-04-25,45954
2022-04-26,52290
2022-04-27,61204
2022-04-28,72711
2022-04-29,84616
2022-04-30,100143
2022-05-01,117212
2022-05-02,135062
2022-05-03,158191
2022-05-04,186662
2022-05-05,216641
2022-05-06,252798
2022-05-07,299201
2022-05-08,341477
2022-05-09,381698
2022-05-10,432505
2022-05-11,489629
2022-05-12,555027
2022-05-13,619986
2022-05-14,683900
2022-05-15,752600
2022-05-16,814285
2022-05-17,880049
2022-05-18,965090
2022-05-19,1054451
2022-05-20,1140132
2022-05-21,1224679
2022-05-22,1304100
2022-05-23,1370329
2022-05-24,1452666
2022-05-25,1541951
2022-05-26,1623738
2022-05-27,1718408
2022-05-28,1798917
2022-05-29,1875341
2022-05-30,1935315
2022-05-31,2015853
2022-06-01,2103979
2022-06-02,2180765
2022-06-03,2257128
2022-06-04,2325104
2022-06-05,2387057
2022-06-06,2439916
2022-06-07,2522782
2022-06-08,2602693
2022-06-09,2675328
2022-06-10,2743408
2022-06-11,2822813
2022-06-12,2873217
2022-06-13,2918208
2022-06-14,2984223
2022-06-15,3053011
2022-06-16,3115976
2022-06-17,3171044
2022-06-18,3224529
2022-06-19,3274980
2022-06-20,3310455
2022-06-21,3366706
2022-06-22,3418753
2022-06-23,3466907
2022-06-24,3512491
2022-06-25,3552708
2022-06-26,3592216
2022-06-27,3620701
2022-06-28,3665015
2022-06-29,3706955
2022-06-30,3745757
2022-07-01,3781402
2022-07-02,3816113
2022-07-03,3848697
2022-07-04,3871743
2022-07-05,3907624
2022-07-06,3942090
2022-07-07,3973418
2022-07-08,4003733
2022-07-09,4031761
2022-07-10,4059529
2022-07-11,4078561
2022-07-12,4109774
2022-07-13,4139586
2022-07-14,4167136
2022-07-15,4192293
2022-07-16,4217487
2022-07-17,4241736
2022-07-18,4259677
2022-07-19,4286767
2022-07-20,4313882
2022-07-21,4338959
2022-07-22,4362932
2022-07-23,4385450
2022-07-24,4407111
2022-07-25,4424182
2022-07-26,4449193
2022-07-27,4474826
2022-07-28,4498713
2022-07-29,4521927
2022-07-30,4543353
2022-07-31,4564382
2022-08-01,4580922
2022-08-02,4604424
2022-08-03,4628284
2022-08-04,4651170
2022-08-05,4672957
2022-08-06,4692756
2022-08-07,4714756
2022-08-08,4730137
2022-08-09,4753754
2022-08-10,4777502
2022-08-11,4800332
2022-08-12,4822252
2022-08-13,4843477
2022-08-14,4864529
2022-08-15,4880289
2022-08-16,4903405
2022-08-17,4928188
2022-08-18,4951554
2022-08-19,4974317
2022-08-20,4996411
2022-08-21,5018765
2022-08-22,5035645
2022-08-23,5061972
2022-08-24,5090485
2022-08-25,5117675
2022-08-26,5144348
2022-08-27,5170161
2022-08-28,5196865
2022-08-29,5217267
2022-08-30,5248680
2022-08-31,5283239
2022-09-01,5317280
2022-09-02,5351021
2022-09-03,5383737
2022-09-04,5418042
2022-09-05,5442089
2022-09-06,5478734
2022-09-07,5519957
2022-09-08,5554981
2022-09-09,5589126
2022-09-10,5624897
2022-09-11,5656973
2022-09-12,5682500
2022-09-13,5729478
2022-09-14,5779101
2022-09-15,5824449
2022-09-16,5866010
2022-09-17,5905542
2022-09-18,5945014
2022-09-19,5973405
2022-09-20,6018059
2022-09-21,6064854
2022-09-22,6107216
2022-09-23,6147150
2022-09-24,6185423
2022-09-25,6224347
2022-09-26,6253034
2022-09-27,6298790
2022-09-28,6347295
2022-09-29,6392062
2022-09-30,6435471
2022-10-01,6478445
2022-10-02,6521669
2022-10-03,6555040
2022-10-04,6604534
2022-10-05,6659360
2022-10-06,6705726
2022-10-07,6756399
2022-10-08,6800648
2022-10-09,6845135
2022-10-10,6877150
2022-10-11,6918522
2022-10-12,6970843
2022-10-13,7024188
2022-10-14,7072328
2022-10-15,7115699
2022-10-16,7157128
2022-10-17,7185901
2022-10-18,7230722
2022-10-19,7275276
2022-10-20,7314962
2022-10-21,7352123
2022-10-22,7387695
2022-10-23,
