date,hospitalized
2022-01-01,1328.0
2022-01-02,1348.0
2022-01-03,1373.0
2022-01-04,1407.0
2022-01-05,1433.0
2022-01-06,1474.0
2022-01-07,1536.0
2022-01-08,1580.0
2022-01-09,1639.0
2022-01-10,1671.0
2022-01-11,1741.0
2022-01-12,1837.0
2022-01-13,1902.0
2022-01-14,1969.0
2022-01-15,2047.0
2022-01-16,2097.0
2022-01-17,2160.0
2022-01-18,2226.0
2022-01-19,2279.0
2022-01-20,2316.0
2022-01-21,2380.0
2022-01-22,2508.0
2022-01-23,2594.0
2022-01-24,2645.0
2022-01-25,2683.0
2022-01-26,2775.0
2022-01-27,2839.0
2022-01-28,2910.0
2022-01-29,2958.0
2022-01-30,3012.0
2022-01-31,3067.0
2022-02-01,3127.0
2022-02-02,
2022-02-03,
