date,arr_incidence,local_incidence
2022-01-01,0.0107,0.0
2022-01-02,0.0109,0.0
2022-01-03,0.0114,0.0
2022-01-04,0.0122,0.0
2022-01-05,0.0129,0.0
2022-01-06,0.0132,0.0001
2022-01-07,0.0134,0.0001
2022-01-08,0.0133,0.0001
2022-01-09,0.014,0.0002
2022-01-10,0.0133,0.0002
2022-01-11,0.0146,0.0002
2022-01-12,0.0179,0.0003
2022-01-13,0.0185,0.0003
2022-01-14,0.0184,0.0004
2022-01-15,0.0192,0.0004
2022-01-16,0.0188,0.0004
2022-01-17,0.0216,0.0004
2022-01-18,0.0222,0.0005
2022-01-19,0.0214,0.0005
2022-01-20,0.0215,0.0005
2022-01-21,0.0242,0.0005
2022-01-22,0.0274,0.001
2022-01-23,0.0306,0.0012
2022-01-24,0.0297,0.0012
2022-01-25,0.028,0.0012
2022-01-26,0.0282,0.0014
2022-01-27,0.0324,0.0015
2022-01-28,0.0329,0.0015
2022-01-29,0.034,0.0011
2022-01-30,0.0367,0.0009
2022-01-31,0.0395,0.0009
2022-02-01,0.0428,0.001
2022-02-02,0.0444,0.0008
2022-02-03,0.0411,0.0008
2022-02-04,0.0414,0.0008
2022-02-05,0.0381,0.0009
2022-02-06,0.0338,0.0009
2022-02-07,0.0319,0.0008
2022-02-08,0.0274,0.0009
2022-02-09,0.0257,0.0009
2022-02-10,0.0254,0.0009
2022-02-11,0.0251,0.0009
2022-02-12,0.0254,0.0007
2022-02-13,0.0252,0.0007
2022-02-14,0.0255,0.0007
2022-02-15,0.0283,0.0006
2022-02-16,0.0292,0.0006
2022-02-17,0.0319,0.0005
2022-02-18,0.0333,0.0004
2022-02-19,0.0379,0.0004
2022-02-20,0.0455,0.0004
2022-02-21,0.0477,0.0004
2022-02-22,0.0472,0.0004
2022-02-23,0.049,0.0003
2022-02-24,0.0506,0.0003
2022-02-25,0.0525,0.0002
2022-02-26,0.0512,0.0002
2022-02-27,0.0477,0.0003
2022-02-28,0.0472,0.0003
2022-03-01,0.0475,0.0003
2022-03-02,0.0483,0.0003
2022-03-03,0.049,0.0003
2022-03-04,0.052,0.0003
2022-03-05,0.0578,0.0003
2022-03-06,0.0661,0.0002
2022-03-07,0.0512,0.0002
2022-03-08,0.045,0.0002
2022-03-09,0.0405,0.0002
2022-03-10,0.0377,0.0002
2022-03-11,0.035,0.0002
2022-03-12,0.0308,0.0001
2022-03-13,0.0294,0.0002
2022-03-14,0.0352,0.0002
2022-03-15,0.0358,0.0001
2022-03-16,0.0384,0.0001
2022-03-17,0.0403,0.0001
2022-03-18,0.0398,0.0001
2022-03-19,0.0445,0.0001
2022-03-20,0.0474,0.0001
2022-03-21,0.0481,0.0001
2022-03-22,0.0517,0.0002
2022-03-23,0.0537,0.0002
2022-03-24,0.0574,0.0003
2022-03-25,0.0634,0.0004
2022-03-26,0.0601,0.0004
2022-03-27,0.0625,0.0009
2022-03-28,0.0634,0.0011
2022-03-29,0.0621,0.0012
2022-03-30,0.0633,0.0016
2022-03-31,0.0624,0.002
2022-04-01,,0.0025
2022-04-02,,0.0034
2022-04-03,,0.0039
2022-04-04,,0.0045
2022-04-05,,0.0055
2022-04-06,,0.0064
2022-04-07,,0.0076
2022-04-08,,0.0089
2022-04-09,,0.0098
2022-04-10,,0.0108
2022-04-11,,0.0107
