date,inst_CFR,cumul_CFR
2022-01-01,0.0,0.049677
2022-01-02,0.0,0.049619
2022-01-03,0.0,0.049547
2022-01-04,0.0,0.049448
2022-01-05,0.0,0.049373
2022-01-06,0.0,0.049256
2022-01-07,0.0,0.049079
2022-01-08,0.0,0.048954
2022-01-09,0.0,0.048788
2022-01-10,0.0,0.048698
2022-01-11,0.0,0.048503
2022-01-12,0.0,0.048237
2022-01-13,0.0,0.048059
2022-01-14,0.0,0.047877
2022-01-15,0.0,0.047667
2022-01-16,0.0,0.047534
2022-01-17,0.005236,0.047419
2022-01-18,0.004808,0.047245
2022-01-19,0.004367,0.047106
2022-01-20,0.003968,0.047009
2022-01-21,0.003436,0.046843
2022-01-22,0.003356,0.046514
2022-01-23,0.002994,0.046296
2022-01-24,0.0,0.046167
2022-01-25,0.0,0.046072
2022-01-26,0.0,0.045843
2022-01-27,0.0,0.045685
2022-01-28,0.0,0.045513
2022-01-29,0.0,0.045399
2022-01-30,0.0,0.045268
2022-01-31,0.0,0.045135
2022-02-01,0.0,0.044992
2022-02-02,0.0,0.044865
2022-02-03,0.0,0.044735
2022-02-04,0.002008,0.044621
2022-02-05,0.002062,0.044453
2022-02-06,0.002188,0.044353
2022-02-07,0.002016,0.044239
2022-02-08,0.001912,0.044129
2022-02-09,0.00189,0.044006
2022-02-10,0.002232,0.043817
2022-02-11,0.0,0.043639
2022-02-12,0.0,0.043509
2022-02-13,0.0,0.043398
2022-02-14,0.0,0.043279
2022-02-15,0.0,0.04318
2022-02-16,0.0,0.043033
2022-02-17,0.0,0.042885
2022-02-18,0.0,0.042741
2022-02-19,0.0,0.042584
2022-02-20,0.0,0.042435
2022-02-21,0.0,0.042331
2022-02-22,0.0,0.042239
2022-02-23,0.002336,0.042171
2022-02-24,0.002415,0.042004
2022-02-25,0.002375,0.041864
2022-02-26,0.002347,0.041722
2022-02-27,0.002364,0.041599
2022-02-28,0.002294,0.041486
2022-03-01,0.002375,0.041397
2022-03-02,0.0,0.041298
2022-03-03,0.0,0.041156
2022-03-04,0.0,0.041029
2022-03-05,0.0,0.040871
2022-03-06,0.0,0.040787
2022-03-07,0.0,0.04073
2022-03-08,0.0,0.040627
2022-03-09,0.0,0.040478
2022-03-10,0.0,0.040321
2022-03-11,0.0,0.040164
2022-03-12,0.0,0.040047
