date,interpolated,total,AZ,Moderna,Medigen,Pfizer,total_avg,AZ_avg,Moderna_avg,Medigen_avg,Pfizer_avg
2022-01-01,1,10510,398,3452,183,6476,86708.5714,1702.2857,14867.4286,1036.0,69102.8571
2022-01-02,-1,10511,399,3453,184,6476,85881.4286,1663.5714,14549.7143,994.7143,68673.4286
2022-01-03,0,53697,2152,10435,1021,40089,83944.0,1664.1429,14020.8571,927.2857,67331.7143
2022-01-04,0,68443,2930,18320,1290,45903,80468.2857,1733.5714,14021.8571,924.1429,63788.7143
2022-01-05,0,75891,2874,19384,1504,52129,72167.8571,1868.5714,13795.8571,910.0,55593.4286
2022-01-06,0,114459,3958,32560,1729,76212,55501.0,2077.5714,14438.0,941.4286,38044.0
2022-01-07,0,216877,4370,61506,2857,148144,78626.8571,2440.1429,21301.4286,1252.5714,53632.7143
2022-01-08,1,161971,4113,97447,5689,54720,100264.1429,2970.8571,34729.2857,2039.1429,60524.7143
2022-01-09,1,161971,4114,97447,5690,54721,121901.2857,3501.5714,48157.0,2825.7143,67416.8571
2022-01-10,1,161972,4113,97448,5689,54721,137369.1429,3781.7143,60587.4286,3492.5714,69507.1429
2022-01-11,1,161971,4114,97447,5690,54721,150730.2857,3950.8571,71891.2857,4121.1429,70766.8571
2022-01-12,-1,161972,4114,97448,5690,54721,163027.5714,4128.0,83043.2857,4719.1429,71137.1429
2022-01-13,0,332418,6308,241359,9667,75084,194164.5714,4463.7143,112871.7143,5853.1429,70976.0
2022-01-14,0,407747,4698,287830,8378,106841,221431.7143,4510.5714,145203.7143,6641.8571,65075.5714
2022-01-15,1,168752,2190,124583,4498,37480,222400.4286,4235.8571,149080.2857,6471.7143,62612.7143
2022-01-16,-1,168752,2190,124584,4499,37480,223369.1429,3961.0,152957.0,6301.5714,60149.7143
2022-01-17,0,448800,6172,316651,11880,114097,264344.5714,4255.1429,184271.7143,7186.0,68632.0
2022-01-18,0,441626,4824,332729,11908,92165,304295.2857,4356.5714,217883.4286,8074.2857,73981.1429
2022-01-19,0,466453,5056,366242,16718,78437,347792.5714,4491.1429,256282.5714,9649.7143,77369.1429
2022-01-20,0,470746,5805,331895,14518,118528,367553.7143,4419.2857,269216.2857,10342.7143,83575.4286
2022-01-21,0,498882,4274,387205,15353,92050,380573.0,4358.7143,283412.7143,11339.1429,81462.4286
2022-01-22,1,206976,2177,152848,8050,43899,386033.5714,4356.8571,287450.5714,11846.5714,82379.4286
