date,death,hospitalized,discharged
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,1,0
2020-01-22,0,1,0
2020-01-23,0,1,0
2020-01-24,0,3,0
2020-01-25,0,3,0
2020-01-26,0,4,0
2020-01-27,0,5,0
2020-01-28,0,8,0
2020-01-29,0,8,0
2020-01-30,0,9,0
2020-01-31,0,10,0
2020-02-01,0,10,0
2020-02-02,0,10,0
2020-02-03,0,10,0
2020-02-04,0,11,0
2020-02-05,0,11,0
2020-02-06,0,15,1
2020-02-07,0,15,1
2020-02-08,0,16,1
2020-02-09,0,17,1
2020-02-10,0,17,1
2020-02-11,0,17,1
2020-02-12,0,17,1
2020-02-13,0,17,1
2020-02-14,0,17,1
2020-02-15,1,15,2
2020-02-16,1,17,2
2020-02-17,1,19,2
2020-02-18,1,19,2
2020-02-19,1,21,2
2020-02-20,1,21,2
2020-02-21,1,23,2
2020-02-22,1,23,2
2020-02-23,1,22,5
2020-02-24,1,24,5
2020-02-25,1,25,5
2020-02-26,1,26,5
2020-02-27,1,26,5
2020-02-28,1,24,9
2020-02-29,1,29,9
2020-03-01,1,27,12
2020-03-02,1,28,12
2020-03-03,1,29,12
2020-03-04,1,29,12
2020-03-05,1,31,12
2020-03-06,1,29,15
2020-03-07,1,29,15
2020-03-08,1,29,15
2020-03-09,1,29,15
2020-03-10,1,29,17
2020-03-11,1,30,17
2020-03-12,1,28,20
2020-03-13,1,29,20
2020-03-14,1,32,20
2020-03-15,1,38,20
2020-03-16,1,44,22
2020-03-17,1,54,22
2020-03-18,1,77,22
2020-03-19,1,81,26
2020-03-20,2,105,28
2020-03-21,2,123,28
2020-03-22,2,139,28
2020-03-23,2,164,29
2020-03-24,2,185,29
2020-03-25,2,204,29
2020-03-26,2,221,29
2020-03-27,2,235,30
2020-03-28,2,251,30
2020-03-29,5,254,39
2020-03-30,5,262,39
2020-03-31,5,278,39
2020-04-01,5,279,45
2020-04-02,5,284,50
2020-04-03,5,293,50
2020-04-04,5,300,50
2020-04-05,5,304,54
2020-04-06,5,311,57
2020-04-07,5,310,61
2020-04-08,5,307,67
2020-04-09,6,294,80
2020-04-10,6,285,91
2020-04-11,6,280,99
2020-04-12,6,273,109
2020-04-13,6,273,114
2020-04-14,6,263,124
2020-04-15,6,252,137
2020-04-16,6,234,155
2020-04-17,6,223,166
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,0,0,0
2020-05-13,0,0,0
2020-05-14,0,0,0
2020-05-15,0,0,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,0,0,0
2020-05-19,0,0,0
2020-05-20,0,0,0
2020-05-21,0,0,0
2020-05-22,0,0,0
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,0,0,0
2020-05-26,0,0,0
2020-05-27,0,0,0
