date,death,death_avg
2022-07-09,94,97.8571
2022-07-10,71,95.4286
2022-07-11,96,99.2857
2022-07-12,60,93.1429
2022-07-13,49,86.5714
2022-07-14,89,84.2857
2022-07-15,114,81.8571
2022-07-16,72,78.7143
2022-07-17,73,79.0
2022-07-18,48,72.1429
2022-07-19,37,68.8571
2022-07-20,57,70.0
2022-07-21,74,67.8571
2022-07-22,86,63.8571
2022-07-23,53,61.1429
2022-07-24,65,60.0
2022-07-25,53,60.7143
2022-07-26,37,60.7143
2022-07-27,28,56.5714
2022-07-28,62,54.8571
2022-07-29,57,50.7143
2022-07-30,60,51.7143
2022-07-31,34,47.2857
2022-08-01,36,44.8571
2022-08-02,31,44.0
2022-08-03,32,44.5714
2022-08-04,56,43.7143
2022-08-05,54,43.2857
2022-08-06,51,42.0
2022-08-07,42,43.1429
2022-08-08,26,41.7143
2022-08-09,18,39.8571
2022-08-10,25,38.8571
2022-08-11,44,37.1429
2022-08-12,31,33.8571
2022-08-13,40,32.2857
2022-08-14,22,29.4286
2022-08-15,22,28.8571
2022-08-16,16,28.5714
2022-08-17,33,29.7143
2022-08-18,34,28.2857
2022-08-19,32,28.4286
2022-08-20,36,27.8571
2022-08-21,26,28.4286
2022-08-22,23,28.5714
2022-08-23,16,28.5714
2022-08-24,18,26.4286
2022-08-25,37,26.8571
2022-08-26,45,28.7143
2022-08-27,40,29.2857
2022-08-28,31,30.0
2022-08-29,22,29.8571
2022-08-30,27,31.4286
2022-08-31,21,31.8571
2022-09-01,36,31.7143
2022-09-02,36,30.4286
2022-09-03,42,30.7143
2022-09-04,35,31.2857
2022-09-05,31,32.5714
2022-09-06,21,31.7143
2022-09-07,26,32.4286
2022-09-08,29,31.4286
2022-09-09,55,34.1429
2022-09-10,30,32.4286
2022-09-11,29,31.5714
2022-09-12,28,31.1429
2022-09-13,17,30.5714
2022-09-14,37,32.1429
2022-09-15,57,36.1429
2022-09-16,46,34.8571
2022-09-17,40,36.2857
2022-09-18,39,37.7143
2022-09-19,31,38.1429
2022-09-20,25,39.2857
2022-09-21,39,39.5714
2022-09-22,59,39.8571
2022-09-23,41,39.1429
2022-09-24,51,40.7143
2022-09-25,34,40.0
2022-09-26,56,43.5714
2022-09-27,28,44.0
2022-09-28,38,43.8571
2022-09-29,53,43.0
2022-09-30,50,44.2857
2022-10-01,48,43.8571
2022-10-02,62,47.8571
2022-10-03,38,45.2857
2022-10-04,31,45.7143
2022-10-05,48,47.1429
2022-10-06,57,47.7143
