symptom,age,value,label
fever,90s,0.0399698048844387,+4%
cough,90s,0.01977796613570077,+2%
asymptomatic,90s,-0.11106658652061914,-11%
dyspnea,90s,0.16713478792719538,+17%
throatache,90s,-0.08028356959084826,-8%
fatigue,90s,-0.05884934477508384,-6%
sneezing,90s,-0.035841609329466326,-4%
diarrhea,90s,-0.0018711380359881583,-0%
soreness,90s,-0.020071332157986222,-2%
headache,90s,-0.04661104786645824,-5%
fever,80s,0.10519076820597885,+11%
cough,80s,0.013700307063912764,+1%
asymptomatic,80s,-0.1626812094689256,-16%
dyspnea,80s,0.1980244312528813,+20%
throatache,80s,-0.08131873958023857,-8%
fatigue,80s,0.1423016004910097,+14%
sneezing,80s,-0.015111976271729333,-2%
diarrhea,80s,-0.011356516577123178,-1%
soreness,80s,-0.030300637501525535,-3%
headache,80s,-0.01008023413776424,-1%
fever,70s,0.05060206472354646,+5%
cough,70s,0.0719584492671209,+7%
asymptomatic,70s,-0.12761350786212391,-13%
dyspnea,70s,0.09838241682889981,+10%
throatache,70s,-0.06058559379487659,-6%
fatigue,70s,0.09890216237085564,+10%
sneezing,70s,-0.04883477690952641,-5%
diarrhea,70s,0.03954912678145857,+4%
soreness,70s,0.03341573983640468,+3%
headache,70s,-0.0069879246678631254,-1%
fever,60s,0.15226091112564516,+15%
cough,60s,0.17519256398425578,+18%
asymptomatic,60s,-0.195006132040908,-20%
dyspnea,60s,0.13055462930046183,+13%
throatache,60s,0.0030134086176998864,+0%
fatigue,60s,0.03605209097542239,+4%
sneezing,60s,-0.01809703958021539,-2%
diarrhea,60s,-0.0010086026264437085,-0%
soreness,60s,0.04881543662550323,+5%
headache,60s,-0.03792214221899458,-4%
fever,50s,-0.004880359395623237,-0%
cough,50s,0.010328422924605672,+1%
asymptomatic,50s,-0.028515489197620984,-3%
dyspnea,50s,-0.026030320097340756,-3%
throatache,50s,0.09141098493121455,+9%
fatigue,50s,0.02955008630812402,+3%
sneezing,50s,0.0034938357432096577,+0%
diarrhea,50s,0.056206437857208746,+6%
soreness,50s,-0.014043973156626817,-1%
headache,50s,-0.026469339278963055,-3%
fever,40s,-0.009674231080074595,-1%
cough,40s,-0.04679805718927369,-5%
asymptomatic,40s,0.052377269386728,+5%
dyspnea,40s,-0.10142870020279944,-10%
throatache,40s,0.06715584149554508,+7%
fatigue,40s,-0.03990324205155656,-4%
sneezing,40s,0.05516845797635099,+6%
diarrhea,40s,0.00842664354302617,+1%
soreness,40s,0.02662470900790656,+3%
headache,40s,0.030697317897345366,+3%
fever,30s,-0.09817454660847956,-10%
cough,30s,-0.06774677477013669,-7%
asymptomatic,30s,0.14671832123931447,+15%
dyspnea,30s,-0.1432890300665887,-14%
throatache,30s,0.04309197961638142,+4%
fatigue,30s,-0.09517955083930468,-10%
sneezing,30s,0.004827516354404177,+0%
diarrhea,30s,-0.010937216295668385,-1%
soreness,30s,-0.00742497760053021,-1%
headache,30s,-0.018866668424041524,-2%
fever,20s,-0.17397242260787582,-17%
cough,20s,-0.135254583510309,-14%
asymptomatic,20s,0.3248229677802623,+32%
dyspnea,20s,-0.18554459612761254,-19%
throatache,20s,-0.036592834832400584,-4%
fatigue,20s,-0.09399366284246528,-9%
sneezing,20s,0.000748109946035606,+0%
diarrhea,20s,-0.05040881446298347,-5%
soreness,20s,-0.03390213193802566,-3%
headache,20s,0.0564811742883771,+6%
fever,10s,-0.06076033514794058,-6%
cough,10s,-0.05965781719135583,-6%
asymptomatic,10s,0.046674924711872845,+5%
dyspnea,10s,-0.06140825280114531,-6%
throatache,10s,0.08627345154786893,+9%
fatigue,10s,-0.05337181337681953,-5%
sneezing,10s,0.07269505436853933,+7%
diarrhea,10s,-0.04762486009055193,-5%
soreness,10s,-0.012995687899307034,-1%
headache,10s,0.11166283931147289,+11%
fever,100s,-0.02705650276439189,-3%
cough,100s,-0.02425212050068877,-2%
asymptomatic,100s,-0.02027705717785235,-2%
dyspnea,100s,-0.016118106062915027,-2%
throatache,100s,-0.014657104193379476,-1%
fatigue,100s,0.11106899658407426,+11%
sneezing,100s,-0.010743929081335295,-1%
diarrhea,100s,-0.00958704767456221,-1%
soreness,100s,-0.008696099319438233,-1%
headache,100s,-0.008509623932057378,-1%
fever,0s,-0.03155919959326724,-3%
cough,0s,-0.05646882211812987,-6%
asymptomatic,0s,0.06502752438126867,+7%
dyspnea,0s,-0.06295323354941973,-6%
throatache,0s,-0.05724693086410446,-6%
fatigue,0s,-0.04196306154430286,-4%
sneezing,0s,0.021472990051499115,+2%
diarrhea,0s,-0.002537910167331122,-0%
soreness,0s,-0.033964757973961236,-3%
headache,0s,-0.03323643241466891,-3%
