date,total,imported,local,others,total_avg,imported_avg,local_avg,others_avg
2022-11-19,16559,56,16503,0,18727.4286,45.8571,18681.5714,0.0
2022-11-20,16218,39,16179,0,18387.5714,45.7143,18341.8571,0.0
2022-11-21,11895,28,11867,0,17714.5714,44.0,17670.5714,0.0
2022-11-22,18169,30,18139,0,17661.4286,41.7143,17619.7143,0.0
2022-11-23,17883,52,17831,0,16976.7143,42.0,16934.7143,0.0
2022-11-24,16040,35,16005,0,16394.4286,41.2857,16353.1429,0.0
2022-11-25,14183,55,14128,0,15849.5714,42.1429,15807.4286,0.0
2022-11-26,13245,46,13199,0,15376.1429,40.7143,15335.4286,0.0
2022-11-27,13297,35,13262,0,14958.8571,40.1429,14918.7143,0.0
2022-11-28,10651,77,10574,0,14781.1429,47.1429,14734.0,0.0
2022-11-29,17281,41,17240,0,14654.2857,48.7143,14605.5714,0.0
2022-11-30,17714,62,17652,0,14630.1429,50.1429,14580.0,0.0
2022-12-01,15642,54,15588,0,14573.2857,52.8571,14520.4286,0.0
2022-12-02,14073,60,14013,0,14557.5714,53.5714,14504.0,0.0
2022-12-03,13136,54,13082,0,14542.0,54.7143,14487.2857,0.0
2022-12-04,13009,39,12970,0,14500.8571,55.2857,14445.5714,0.0
2022-12-05,10241,35,10206,0,14442.2857,49.2857,14393.0,0.0
2022-12-06,16010,27,15983,0,14260.7143,47.2857,14213.4286,0.0
2022-12-07,16723,47,16676,0,14119.1429,45.1429,14074.0,0.0
2022-12-08,15273,57,15216,0,14066.4286,45.5714,14020.8571,0.0
2022-12-09,14355,67,14288,0,14106.7143,46.5714,14060.1429,0.0
2022-12-10,14276,55,14221,0,14269.5714,46.7143,14222.8571,0.0
2022-12-11,14083,57,14026,0,14423.0,49.2857,14373.7143,0.0
2022-12-12,10853,30,10823,0,14510.4286,48.5714,14461.8571,0.0
2022-12-13,17155,54,17101,0,14674.0,52.4286,14621.5714,0.0
2022-12-14,17638,112,17526,0,14804.7143,61.7143,14743.0,0.0
2022-12-15,16078,59,16019,0,14919.7143,62.0,14857.7143,0.0
2022-12-16,15404,102,15302,0,15069.5714,67.0,15002.5714,0.0
2022-12-17,15616,151,15465,0,15261.0,80.7143,15180.2857,0.0
2022-12-18,15122,76,15046,0,15409.4286,83.4286,15326.0,0.0
2022-12-19,10361,43,10318,0,15339.1429,85.2857,15253.8571,0.0
2022-12-20,17125,52,17073,0,15334.8571,85.0,15249.8571,0.0
2022-12-21,19141,100,19041,0,15549.5714,83.2857,15466.2857,0.0
2022-12-22,19875,94,19781,0,16092.0,88.2857,16003.7143,0.0
2022-12-23,19061,103,18958,0,16614.4286,88.4286,16526.0,0.0
2022-12-24,18056,118,17938,0,16963.0,83.7143,16879.2857,0.0
2022-12-25,17728,79,17649,0,17335.2857,84.1429,17251.1429,0.0
2022-12-26,14234,71,14163,0,17888.5714,88.1429,17800.4286,0.0
2022-12-27,24480,56,24424,0,18939.2857,88.7143,18850.5714,0.0
2022-12-28,28158,226,27932,0,20227.4286,106.7143,20120.7143,0.0
2022-12-29,27940,148,27792,0,21379.5714,114.4286,21265.1429,0.0
2022-12-30,27408,190,27218,0,22572.0,126.8571,22445.1429,0.0
2022-12-31,25740,67,25673,0,23669.7143,119.5714,23550.1429,0.0
2023-01-01,25386,,,,24763.7143,,,
2023-01-02,16600,,,,25101.7143,,,
2023-01-03,25005,,,,25176.7143,,,
2023-01-04,33850,,,,25989.8571,,,
2023-01-05,31498,,,,26498.1429,,,
2023-01-06,27672,,,,26535.8571,,,
2023-01-07,24410,,,,26345.8571,,,
2023-01-08,23410,,,,26063.5714,,,
2023-01-09,17314,,,,26165.5714,,,
2023-01-10,25049,,,,26171.8571,,,
2023-01-11,25631,,,,24997.7143,,,
2023-01-12,22919,,,,23772.1429,,,
2023-01-13,21707,,,,22920.0,,,
2023-01-14,20396,,,,22346.5714,,,
2023-01-15,21267,,,,22040.4286,,,
2023-01-16,15632,,,,21800.1429,,,
2023-01-17,19960,,,,21073.1429,,,
2023-01-18,21021,,,,20414.5714,,,
2023-01-19,18407,,,,19770.0,,,
2023-01-20,18203,,,,19269.4286,,,
2023-01-21,21074,,,,19366.2857,,,
2023-01-22,19187,,,,19069.1429,,,
2023-01-23,10667,,,,18359.8571,,,
2023-01-24,14858,,,,17631.0,,,
2023-01-25,16513,,,,16987.0,,,
2023-01-26,19142,,,,17092.0,,,
2023-01-27,24348,,,,17969.8571,,,
2023-01-28,27438,,,,18879.0,,,
2023-01-29,27343,,,,20044.1429,,,
2023-01-30,22284,,,,21703.7143,,,
2023-01-31,32272,,,,24191.4286,,,
2023-02-01,31788,,,,26373.5714,,,
2023-02-02,27049,,,,27503.1429,,,
2023-02-03,25469,,,,27663.2857,,,
2023-02-04,23733,,,,27134.0,,,
2023-02-05,22983,,,,26511.1429,,,
2023-02-06,16639,,,,25704.7143,,,
2023-02-07,23379,,,,24434.2857,,,
2023-02-08,24231,,,,23354.7143,,,
2023-02-09,20912,,,,22478.0,,,
2023-02-10,19621,,,,21642.5714,,,
2023-02-11,18281,,,,20863.7143,,,
2023-02-12,17190,,,,20036.1429,,,
2023-02-13,12657,,,,19467.2857,,,
2023-02-14,20502,,,,19056.2857,,,
2023-02-15,19851,,,,18430.5714,,,
2023-02-16,,,,,,,,
