date,total,imported,local,others,total_avg,imported_avg,local_avg,others_avg
2022-12-17,15616,151,15465,0,15261.0,80.7143,15180.2857,0.0
2022-12-18,15122,76,15046,0,15409.4286,83.4286,15326.0,0.0
2022-12-19,10361,43,10318,0,15339.1429,85.2857,15253.8571,0.0
2022-12-20,17125,52,17073,0,15334.8571,85.0,15249.8571,0.0
2022-12-21,19141,100,19041,0,15549.5714,83.2857,15466.2857,0.0
2022-12-22,19875,94,19781,0,16092.0,88.2857,16003.7143,0.0
2022-12-23,19061,103,18958,0,16614.4286,88.4286,16526.0,0.0
2022-12-24,18056,118,17938,0,16963.0,83.7143,16879.2857,0.0
2022-12-25,17728,79,17649,0,17335.2857,84.1429,17251.1429,0.0
2022-12-26,14234,71,14163,0,17888.5714,88.1429,17800.4286,0.0
2022-12-27,24480,56,24424,0,18939.2857,88.7143,18850.5714,0.0
2022-12-28,28158,226,27932,0,20227.4286,106.7143,20120.7143,0.0
2022-12-29,27940,148,27792,0,21379.5714,114.4286,21265.1429,0.0
2022-12-30,27408,190,27218,0,22572.0,126.8571,22445.1429,0.0
2022-12-31,25740,67,25673,0,23669.7143,119.5714,23550.1429,0.0
2023-01-01,25386,,,,24763.7143,,,
2023-01-02,16600,,,,25101.7143,,,
2023-01-03,25005,,,,25176.7143,,,
2023-01-04,33850,,,,25989.8571,,,
2023-01-05,31498,,,,26498.1429,,,
2023-01-06,27672,,,,26535.8571,,,
2023-01-07,24410,,,,26345.8571,,,
2023-01-08,23410,,,,26063.5714,,,
2023-01-09,17314,,,,26165.5714,,,
2023-01-10,25049,,,,26171.8571,,,
2023-01-11,25631,,,,24997.7143,,,
2023-01-12,22919,,,,23772.1429,,,
2023-01-13,21707,,,,22920.0,,,
2023-01-14,20396,,,,22346.5714,,,
2023-01-15,21267,,,,22040.4286,,,
2023-01-16,15632,,,,21800.1429,,,
2023-01-17,19960,,,,21073.1429,,,
2023-01-18,21021,,,,20414.5714,,,
2023-01-19,18407,,,,19770.0,,,
2023-01-20,18203,,,,19269.4286,,,
2023-01-21,21074,,,,19366.2857,,,
2023-01-22,19187,,,,19069.1429,,,
2023-01-23,10667,,,,18359.8571,,,
2023-01-24,14858,,,,17631.0,,,
2023-01-25,16513,,,,16987.0,,,
2023-01-26,19142,,,,17092.0,,,
2023-01-27,24348,,,,17969.8571,,,
2023-01-28,27438,,,,18879.0,,,
2023-01-29,27343,,,,20044.1429,,,
2023-01-30,22284,,,,21703.7143,,,
2023-01-31,32272,,,,24191.4286,,,
2023-02-01,31788,,,,26373.5714,,,
2023-02-02,27049,,,,27503.1429,,,
2023-02-03,25469,,,,27663.2857,,,
2023-02-04,23733,,,,27134.0,,,
2023-02-05,22983,,,,26511.1429,,,
2023-02-06,16639,,,,25704.7143,,,
2023-02-07,23379,,,,24434.2857,,,
2023-02-08,24231,,,,23354.7143,,,
2023-02-09,20912,,,,22478.0,,,
2023-02-10,19621,,,,21642.5714,,,
2023-02-11,18281,,,,20863.7143,,,
2023-02-12,17190,,,,20036.1429,,,
2023-02-13,12657,,,,19467.2857,,,
2023-02-14,20502,,,,19056.2857,,,
2023-02-15,19851,,,,18430.5714,,,
2023-02-16,16740,,,,17834.5714,,,
2023-02-17,15435,,,,17236.5714,,,
2023-02-18,15085,,,,16780.0,,,
2023-02-19,15790,,,,16580.0,,,
2023-02-20,12058,,,,16494.4286,,,
2023-02-21,17240,,,,16028.4286,,,
2023-02-22,16481,,,,15547.0,,,
2023-02-23,14383,,,,15210.2857,,,
2023-02-24,13440,,,,14925.2857,,,
2023-02-25,13526,,,,14702.5714,,,
2023-02-26,13090,,,,14316.8571,,,
2023-02-27,7745,,,,13700.7143,,,
2023-02-28,10120,,,,12683.5714,,,
2023-03-01,12212,,,,12073.7143,,,
2023-03-02,14103,,,,12033.7143,,,
2023-03-03,13813,,,,12087.0,,,
2023-03-04,11397,,,,11782.8571,,,
2023-03-05,,,,,,,,
2023-03-06,,,,,,,,
2023-03-07,,,,,,,,
2023-03-08,,,,,,,,
2023-03-09,,,,,,,,
2023-03-10,,,,,,,,
2023-03-11,,,,,,,,
2023-03-12,,,,,,,,
2023-03-13,,,,,,,,
2023-03-14,,,,,,,,
2023-03-15,,,,,,,,
2023-03-16,,,,,,,,
