date,interpolated,total,AZ,Moderna,Medigen,Pfizer,Novavax,total_avg,AZ_avg,Moderna_avg,Medigen_avg,Pfizer_avg,Novavax_avg
2022-12-30,1,5294,1,74,0,4511,707,5316.7143,3.1429,95.7143,2.4286,4114.1429,1101.1429
2022-12-31,1,5294,2,74,0,4511,707,5640.8571,2.8571,94.1429,2.2857,4476.0,1065.7143
2023-01-01,1,5294,2,74,0,4511,708,5965.0,2.5714,92.4286,2.0,4837.8571,1030.4286
2023-01-02,1,5294,2,74,0,4511,707,6289.0,2.1429,90.7143,1.7143,5199.5714,994.8571
2023-01-03,-1,5295,2,74,0,4511,708,6011.1429,1.8571,72.5714,0.2857,5036.1429,900.2857
2023-01-04,0,8050,2,629,7,6018,1394,5936.1429,2.1429,161.1429,1.2857,4868.0,903.5714
2023-01-05,0,8703,2,923,1,5699,2078,6174.8571,1.8571,274.5714,1.1429,4896.0,1001.2857
2023-01-06,0,9572,7,1918,2,6090,1555,6786.0,2.7143,538.0,1.4286,5121.5714,1122.4286
2023-01-07,0,10122,3,1310,1,5124,3684,7475.7143,2.8571,714.5714,1.5714,5209.1429,1547.7143
2023-01-08,1,2930,4,371,0,1883,671,7138.0,3.1429,757.0,1.5714,4833.7143,1542.4286
2023-01-09,-1,2930,4,371,1,1884,671,6800.2857,3.4286,799.4286,1.7143,4458.4286,1537.2857
2023-01-10,0,7885,7,1223,-5,5280,1380,7170.2857,4.1429,963.5714,1.0,4568.2857,1633.2857
2023-01-11,0,9074,15,1955,3,5361,1740,7316.5714,6.0,1153.0,0.4286,4474.4286,1682.7143
2023-01-12,0,7237,4,1202,1,4200,1830,7107.1429,6.2857,1192.8571,0.4286,4260.2857,1647.2857
2023-01-13,0,24718,4,2875,2,15589,6248,9270.8571,5.8571,1329.5714,0.4286,5617.2857,2317.7143
2023-01-14,1,3275,-1,433,0,1690,1152,8292.7143,5.2857,1204.2857,0.2857,5126.7143,1956.0
2023-01-15,1,3276,-1,433,0,1691,1153,8342.1429,4.5714,1213.1429,0.2857,5099.2857,2024.8571
2023-01-16,-1,3276,-1,433,1,1691,1153,8391.5714,3.8571,1222.0,0.2857,5071.7143,2093.7143
2023-01-17,0,8568,27,1328,0,5717,1496,8489.1429,6.7143,1237.0,1.0,5134.1429,2110.2857
2023-01-18,0,8854,14,1239,9,6080,1512,8457.7143,6.5714,1134.7143,1.8571,5236.8571,2077.7143
2023-01-19,1,9826,4,1248,-1,6260,2314,8827.5714,6.5714,1141.2857,1.5714,5531.1429,2146.8571
2023-01-20,-1,9826,4,1249,-1,6261,2314,6700.1429,6.5714,909.0,1.1429,4198.5714,1584.8571
2023-01-21,1,245,0,24,0,170,49,6267.2857,6.7143,850.5714,1.1429,3981.4286,1427.2857
2023-01-22,1,245,1,24,0,170,50,5834.2857,7.0,792.1429,1.1429,3764.1429,1269.7143
2023-01-23,1,245,1,25,0,171,49,5401.2857,7.2857,733.8571,1.0,3547.0,1112.0
2023-01-24,1,245,0,24,0,170,50,4212.2857,3.4286,547.5714,1.0,2754.5714,905.4286
2023-01-25,1,246,1,25,0,171,50,2982.5714,1.5714,374.1429,-0.2857,1910.4286,696.5714
2023-01-26,1,245,1,24,0,170,49,1613.8571,1.1429,199.2857,-0.1429,1040.4286,373.0
2023-01-27,1,245,0,24,0,170,50,245.1429,0.5714,24.2857,0.0,170.2857,49.5714
2023-01-28,1,245,1,25,0,171,49,245.1429,0.7143,24.4286,0.0,170.4286,49.5714
2023-01-29,1,245,1,24,0,170,50,245.1429,0.7143,24.4286,0.0,170.4286,49.5714
2023-01-30,-1,246,1,25,1,171,50,245.2857,0.7143,24.4286,0.1429,170.4286,49.7143
2023-01-31,0,3766,26,513,1,2668,558,748.2857,4.4286,94.2857,0.2857,527.2857,122.2857
2023-02-01,0,3926,12,383,7,2775,749,1274.0,6.0,145.4286,1.2857,899.2857,222.1429
2023-02-02,0,4258,3,317,-1,3174,765,1847.2857,6.2857,187.2857,1.1429,1328.4286,324.4286
2023-02-03,0,4686,6,262,1,3532,885,2481.7143,7.1429,221.2857,1.2857,1808.7143,443.7143
2023-02-04,0,5140,1,567,0,3303,1269,3181.0,7.1429,298.7143,1.2857,2256.1429,618.0
2023-02-05,1,1964,2,319,0,1354,288,3426.5714,7.2857,340.8571,1.2857,2425.2857,652.0
2023-02-06,-1,1964,3,320,0,1354,288,3672.0,7.5714,383.0,1.1429,2594.2857,686.0
2023-02-07,0,5175,16,557,-8,3835,775,3873.2857,6.1429,389.2857,-0.1429,2761.0,717.0
2023-02-08,0,5540,4,690,-5,4018,833,4103.8571,5.0,433.1429,-1.8571,2938.5714,729.0
2023-02-09,0,4604,4,752,1,2928,919,4153.2857,5.1429,495.2857,-1.5714,2903.4286,751.0
