key,count,label,label_fr,label_zh
N_total,14095,,,
N_data,1222,,,
100+,2,100+,100+,100+歲
90s,58,90s,90aine,90-99歲
80s,151,80s,80aine,80-89歲
70s,231,70s,70aine,70-79歲
60s,245,60s,60aine,60-69歲
50s,138,50s,50aine,50-59歲
40s,108,40s,40aine,40-49歲
30s,115,30s,30aine,30-39歲
20s,120,20s,20aine,20-29歲
10s,30,10s,10aine,10-19歲
0s,24,0s,0-9 ans,0-9歲
fever,538,Fever,Fièvre,發燒
cough,442,Cough,Toux,咳嗽
dyspnea,259,Dyspnea,Dyspnée,呼吸困難
asymptomatic,233,Asymptomatic,Asymptomatique,無症狀
throatache,172,Throatache,Mal de gorge,喉嚨症狀
fatigue,118,Fatigue,Fatigue,倦怠
sneezing,100,Sneezing,Éternuement,鼻腔症狀
diarrhea,93,Diarrhea,Diarrhée,腹瀉
soreness,70,Soreness,Myalgie,痠痛
headache,57,Headache,Mal de tête,頭痛
