date,positivity,fatality
2021-05-22,0.0182,0.0066
2021-05-23,0.0191,0.0071
2021-05-24,0.0198,0.008
2021-05-25,0.0208,0.009
2021-05-26,0.0221,0.0103
2021-05-27,0.0236,0.0116
2021-05-28,0.0252,0.0131
2021-05-29,0.0259,0.0147
2021-05-30,0.0264,0.0162
2021-05-31,0.0264,0.0181
2021-06-01,0.0259,0.02
2021-06-02,0.0249,0.0219
2021-06-03,0.0234,0.0237
2021-06-04,0.0218,0.0255
2021-06-05,0.0205,0.0271
2021-06-06,0.0192,0.0287
2021-06-07,0.0181,0.0301
2021-06-08,0.0173,0.0315
2021-06-09,0.0163,0.0328
2021-06-10,0.0153,0.0341
2021-06-11,0.0141,0.035
2021-06-12,0.0129,0.0361
2021-06-13,0.0116,0.0371
2021-06-14,0.0106,0.0379
2021-06-15,0.0097,0.0387
2021-06-16,0.0089,0.0394
2021-06-17,0.0083,0.0401
2021-06-18,0.0078,0.0408
2021-06-19,0.0074,0.0415
2021-06-20,0.0071,0.042
2021-06-21,0.0066,0.0426
2021-06-22,0.0061,0.043
2021-06-23,0.0056,0.0433
2021-06-24,0.0052,0.0437
2021-06-25,0.0048,0.044
2021-06-26,0.0044,0.0443
2021-06-27,0.004,0.0446
2021-06-28,0.0037,0.0449
2021-06-29,0.0035,0.0452
2021-06-30,0.0033,0.0455
2021-07-01,0.003,0.0458
2021-07-02,0.0028,0.0462
2021-07-03,0.0027,0.0465
2021-07-04,0.0025,0.0468
2021-07-05,0.0024,0.0472
2021-07-06,0.0022,0.0475
2021-07-07,0.0021,0.0479
2021-07-08,0.002,0.0482
2021-07-09,0.0019,0.0485
2021-07-10,0.0018,0.0488
2021-07-11,0.0017,0.0491
2021-07-12,0.0016,0.0494
2021-07-13,0.0015,0.0497
2021-07-14,0.0014,0.0499
2021-07-15,0.0014,0.05
2021-07-16,0.0013,0.0502
2021-07-17,0.0013,0.0504
2021-07-18,0.0013,0.0506
2021-07-19,0.0013,0.0507
2021-07-20,0.0012,0.0508
2021-07-21,0.0012,0.0509
2021-07-22,0.0011,0.051
2021-07-23,0.0011,0.0511
2021-07-24,0.0011,0.0512
2021-07-25,0.0011,0.0512
2021-07-26,0.0011,0.0513
2021-07-27,0.0011,0.0514
2021-07-28,0.0011,0.0514
2021-07-29,0.001,0.0514
2021-07-30,0.001,0.0515
2021-07-31,0.001,0.0516
2021-08-01,0.0009,0.0517
2021-08-02,0.0009,0.0517
2021-08-03,0.0008,0.0518
2021-08-04,0.0008,0.0518
2021-08-05,0.0008,0.0519
2021-08-06,0.0008,0.0519
2021-08-07,0.0008,0.0519
2021-08-08,0.0007,0.0519
2021-08-09,0.0007,0.052
2021-08-10,0.0007,0.052
2021-08-11,0.0007,0.052
2021-08-12,0.0006,0.052
2021-08-13,0.0006,0.052
2021-08-14,0.0006,0.052
2021-08-15,0.0005,0.052
2021-08-16,0.0005,0.052
2021-08-17,0.0005,0.052
2021-08-18,0.0005,0.052
2021-08-19,,0.052
