date,positivity,fatality
2022-01-28,0.0024,0.0455
2022-01-29,0.0021,0.0454
2022-01-30,0.0021,0.0453
2022-01-31,0.0026,0.0451
2022-02-01,0.0032,0.045
2022-02-02,0.0035,0.0449
2022-02-03,0.004,0.0447
2022-02-04,0.0041,0.0446
2022-02-05,0.0041,0.0445
2022-02-06,0.0036,0.0444
2022-02-07,0.0027,0.0442
2022-02-08,0.0023,0.0441
2022-02-09,0.002,0.044
2022-02-10,0.0021,0.0438
2022-02-11,0.002,0.0436
2022-02-12,0.0019,0.0435
2022-02-13,0.002,0.0434
2022-02-14,0.0022,0.0433
2022-02-15,0.0022,0.0432
2022-02-16,0.0023,0.043
2022-02-17,0.0023,0.0429
2022-02-18,0.0022,0.0427
2022-02-19,0.0024,0.0426
2022-02-20,0.0026,0.0424
2022-02-21,0.0027,0.0423
2022-02-22,0.0028,0.0422
2022-02-23,0.0029,0.0422
2022-02-24,0.0029,0.042
2022-02-25,0.0031,0.0419
2022-02-26,0.0031,0.0417
2022-02-27,0.003,0.0416
2022-02-28,0.0032,0.0415
2022-03-01,0.0031,0.0414
2022-03-02,0.003,0.0413
2022-03-03,0.003,0.0412
2022-03-04,0.0029,0.041
2022-03-05,0.003,0.0409
2022-03-06,0.0029,0.0408
2022-03-07,0.0025,0.0407
2022-03-08,0.0027,0.0406
2022-03-09,0.0028,0.0405
2022-03-10,0.0029,0.0403
2022-03-11,0.003,0.0402
2022-03-12,0.0029,0.04
2022-03-13,0.003,0.0399
2022-03-14,0.0033,0.0398
2022-03-15,0.0032,0.0397
2022-03-16,0.0033,0.0395
2022-03-17,0.0034,0.0394
2022-03-18,0.0034,0.0392
2022-03-19,0.0038,0.039
2022-03-20,0.0042,0.0388
2022-03-21,0.0044,0.0386
2022-03-22,0.0047,0.0385
2022-03-23,0.0047,0.0383
2022-03-24,0.0049,0.0381
2022-03-25,0.0052,0.0378
2022-03-26,0.005,0.0377
2022-03-27,0.0055,0.0373
2022-03-28,0.0053,0.0371
2022-03-29,0.0051,0.037
2022-03-30,0.0051,0.0367
2022-03-31,0.0053,0.0363
2022-04-01,0.0054,0.036
2022-04-02,0.0067,0.0354
2022-04-03,0.0069,0.035
2022-04-04,0.0079,0.0346
2022-04-05,0.0087,0.0342
2022-04-06,0.0091,0.0337
2022-04-07,0.0099,0.033
2022-04-08,0.0104,0.0324
2022-04-09,0.0104,0.0317
2022-04-10,0.0112,0.031
2022-04-11,0.0112,0.0303
2022-04-12,0.0118,0.0297
2022-04-13,0.0134,0.0287
2022-04-14,0.0147,0.0278
2022-04-15,0.0173,0.0268
2022-04-16,0.0195,0.0258
2022-04-17,0.0214,0.0248
2022-04-18,0.024,0.0238
2022-04-19,0.0265,0.0226
2022-04-20,0.0304,0.0213
2022-04-21,0.0354,0.0198
2022-04-22,0.0414,0.0182
2022-04-23,0.0482,0.0167
2022-04-24,0.0565,0.0151
2022-04-25,0.0645,0.0139
2022-04-26,0.0801,0.0126
2022-04-27,,0.0111
