date,interpolated,total,AZ,Moderna,Medigen,Pfizer,Novavax
2022-12-30,1,62431334,15297733,23973868,3069086,19576571,514075
2022-12-31,1,62436628,15297735,23973942,3069086,19581082,514782
2023-01-01,1,62441922,15297737,23974016,3069086,19585593,515490
2023-01-02,1,62447216,15297739,23974090,3069086,19590104,516197
2023-01-03,0,62452511,15297741,23974164,3069086,19594615,516905
2023-01-04,0,62460561,15297743,23974793,3069093,19600633,518299
2023-01-05,0,62469264,15297745,23975716,3069094,19606332,520377
2023-01-06,0,62478836,15297752,23977634,3069096,19612422,521932
2023-01-07,0,62488958,15297755,23978944,3069097,19617546,525616
2023-01-08,1,62491888,15297759,23979315,3069097,19619429,526287
2023-01-09,0,62494818,15297763,23979686,3069098,19621313,526958
2023-01-10,0,62502703,15297770,23980909,3069093,19626593,528338
2023-01-11,0,62511777,15297785,23982864,3069096,19631954,530078
2023-01-12,0,62519014,15297789,23984066,3069097,19636154,531908
2023-01-13,0,62543732,15297793,23986941,3069099,19651743,538156
2023-01-14,1,62547007,15297792,23987374,3069099,19653433,539308
2023-01-15,1,62550283,15297791,23987807,3069099,19655124,540461
2023-01-16,0,62553559,15297790,23988240,3069100,19656815,541614
2023-01-17,0,62562127,15297817,23989568,3069100,19662532,543110
2023-01-18,0,62570981,15297831,23990807,3069109,19668612,544622
2023-01-19,1,62580807,15297835,23992055,3069108,19674872,546936
2023-01-20,0,62590633,15297839,23993304,3069107,19681133,549250
2023-01-21,1,62590878,15297839,23993328,3069107,19681303,549299
2023-01-22,1,62591123,15297840,23993352,3069107,19681473,549349
2023-01-23,1,62591368,15297841,23993377,3069107,19681644,549398
2023-01-24,1,62591613,15297841,23993401,3069107,19681814,549448
2023-01-25,1,62591859,15297842,23993426,3069107,19681985,549498
2023-01-26,1,62592104,15297843,23993450,3069107,19682155,549547
2023-01-27,1,62592349,15297843,23993474,3069107,19682325,549597
2023-01-28,1,62592594,15297844,23993499,3069107,19682496,549646
2023-01-29,1,62592839,15297845,23993523,3069107,19682666,549696
2023-01-30,0,62593085,15297846,23993548,3069108,19682837,549746
2023-01-31,0,62596851,15297872,23994061,3069109,19685505,550304
2023-02-01,0,62600777,15297884,23994444,3069116,19688280,551053
2023-02-02,0,62605035,15297887,23994761,3069115,19691454,551818
2023-02-03,0,62609721,15297893,23995023,3069116,19694986,552703
2023-02-04,0,62614861,15297894,23995590,3069116,19698289,553972
2023-02-05,1,62616825,15297896,23995909,3069116,19699643,554260
2023-02-06,0,62618789,15297899,23996229,3069116,19700997,554548
2023-02-07,0,62623964,15297915,23996786,3069108,19704832,555323
2023-02-08,0,62629504,15297919,23997476,3069103,19708850,556156
2023-02-09,0,62634108,15297923,23998228,3069104,19711778,557075
2023-02-10,0,62646540,15297927,23999778,3069104,19719888,559843
2023-02-11,1,62647596,15297914,23999984,3069103,19720514,560078
2023-02-12,1,62648652,15297902,24000191,3069103,19721141,560314
2023-02-13,0,62649709,15297890,24000398,3069103,19721768,560550
2023-02-14,0,62654065,15297904,24000989,3069104,19724730,561338
2023-02-15,1,62658223,15297907,24001701,3069101,19727422,562091
2023-02-16,0,62662381,15297910,24002413,3069098,19730115,562845
2023-02-17,0,62673156,15297928,24004220,3069099,19736385,565524
2023-02-18,1,62674259,15297929,24004475,3069099,19736975,565780
2023-02-19,1,62675362,15297931,24004730,3069099,19737565,566036
2023-02-20,0,62676466,15297933,24004986,3069099,19738156,566292
2023-02-21,0,62680102,15297935,24005548,3069099,19740598,566922
2023-02-22,0,62683961,15297937,24006092,3069102,19743159,567671
2023-02-23,0,62687287,15297937,24006700,3069097,19745112,568441
2023-02-24,0,62706381,15297951,24009558,3069097,19756578,573197
2023-02-25,1,62706883,15297951,24009674,3069096,19756856,573304
2023-02-26,1,62707385,15297951,24009791,3069096,19757135,573412
2023-02-27,1,62707888,15297952,24009907,3069095,19757413,573519
2023-02-28,1,62708390,15297952,24010024,3069095,19757692,573627
2023-03-01,1,62708892,15297952,24010140,3069094,19757970,573734
2023-03-02,0,62709395,15297953,24010257,3069094,19758249,573842
2023-03-03,0,62718320,15297954,24011440,3069091,19763675,576160
2023-03-04,1,62719076,15297954,24011593,3069091,19764067,576370
2023-03-05,1,62719833,15297954,24011747,3069091,19764460,576580
2023-03-06,0,62720590,15297955,24011901,3069091,19764853,576790
2023-03-07,0,62723622,15297958,24012409,3069087,19766630,577538
2023-03-08,0,62726688,15297962,24012730,3069086,19768460,578450
2023-03-09,0,62729447,15297962,24013378,3069085,19769826,579196
2023-03-10,0,62738625,15297976,24014625,3069089,19775168,581767
2023-03-11,1,62739487,15297976,24014756,3069089,19775683,581981
2023-03-12,1,62740349,15297977,24014887,3069089,19776198,582196
2023-03-13,0,62741211,15297978,24015019,3069089,19776714,582411
2023-03-14,0,62744156,15297978,24015499,3069087,19778530,583062
2023-03-15,0,62747255,15297984,24015830,3069086,19780451,583904
2023-03-16,0,62749949,15297986,24016425,3069085,19781822,584631
2023-03-17,0,62758070,15297988,24017489,3069084,19786439,587070
2023-03-18,1,62758802,15297988,24017601,3069084,19786831,587296
2023-03-19,1,62759534,15297989,24017714,3069084,19787223,587522
2023-03-20,0,62760266,15297990,24017827,3069085,19787616,587748
2023-03-21,0,62762517,15297993,24018253,3069090,19788895,588286
2023-03-22,0,62764596,15297994,24018589,3069088,19790050,588875
2023-03-23,0,62766737,15297995,24019123,3069087,19791060,589472
2023-03-24,0,62769501,15297996,24019504,3069083,19792662,590256
2023-03-25,0,62772508,15297997,24019856,3069085,19794230,591340
2023-03-26,1,55135635,7648998,24020305,3069171,19797014,600145
2023-03-27,0,47498763,0,24020755,3069258,19799799,608951
2023-03-28,,,,,,,
2023-03-29,,,,,,,
