index,date,source,total,AZ,Moderna,Medigen,Pfizer
446,2021-03-22,AZ,116500,116500,0,0,0
468,2021-04-13,COVAX,315100,315100,0,0,0
512,2021-05-27,COVAX,724900,724900,0,0,0
524,2021-06-08,Moderna,873700,724900,148800,0,0
528,2021-06-12,Japan,2111560,1962760,148800,0,0
542,2021-06-26,Moderna,2350960,1962760,388200,0,0
545,2021-06-29,USA,4849400,1962760,2886640,0,0
554,2021-07-08,Moderna,5259200,1962760,3296440,0,0
561,2021-07-15,AZ,5885100,2588660,3296440,0,0
562,2021-07-16,Japan,7016880,3720440,3296440,0,0
569,2021-07-23,Japan,7990360,4693920,3296440,0,0
569,2021-07-23,AZ,8550460,5254020,3296440,0,0
569,2021-07-23,Moderna,8899660,5254020,3645640,0,0
577,2021-07-31,Medigen,9165188,5254020,3645640,265528,0
581,2021-08-04,AZ,9746588,5835420,3645640,265528,0
582,2021-08-05,Medigen,9833498,5835420,3645640,352438,0
587,2021-08-10,Lithuania,9852898,5854820,3645640,352438,0
594,2021-08-17,Moderna,9951898,5854820,3744640,352438,0
594,2021-08-17,Medigen,10213664,5854820,3744640,614204,0
597,2021-08-20,AZ,10737864,6379020,3744640,614204,0
601,2021-08-24,Moderna,10986864,6379020,3993640,614204,0
601,2021-08-24,Medigen,11250450,6379020,3993640,877790,0
612,2021-09-04,AZ,11514850,6643420,3993640,877790,0
615,2021-09-07,Czechia,11543650,6643420,4022440,877790,0
615,2021-09-07,AZ,12138550,7238320,4022440,877790,0
616,2021-09-08,Medigen,12225485,7238320,4022440,964725,0
621,2021-09-13,Poland,12625485,7638320,4022440,964725,0
621,2021-09-13,COVAX,13035285,8048120,4022440,964725,0
623,2021-09-15,Japan,13099285,8112120,4022440,964725,0
625,2021-09-17,Pfizer,14032357,8112120,4022440,964725,933072
625,2021-09-17,Pfizer,14942029,8112120,4022440,964725,1842744
626,2021-09-18,AZ,15400029,8570120,4022440,964725,1842744
626,2021-09-18,Medigen,15571710,8570120,4022440,1136406,1842744
633,2021-09-25,AZ,16211710,9210120,4022440,1136406,1842744
633,2021-09-25,Moderna,17291710,9210120,5102440,1136406,1842744
638,2021-09-30,Medigen,17851710,9210120,5102440,1696406,1842744
641,2021-10-03,Japan,18351710,9710120,5102440,1696406,1842744
646,2021-10-08,Pfizer,18901710,9710120,5102440,1696406,2392744
646,2021-10-08,AZ,19557710,10366120,5102440,1696406,2392744
647,2021-10-09,Pfizer,20227710,10366120,5102440,1696406,3062744
650,2021-10-12,Pfizer,20497710,10366120,5102440,1696406,3332744
653,2021-10-15,Pfizer,21386910,10366120,5102440,1696406,4221944
654,2021-10-16,Pfizer,22186910,10366120,5102440,1696406,5021944
655,2021-10-17,Moderna,23319010,10366120,6234540,1696406,5021944
655,2021-10-17,Lithuania,23554910,10602020,6234540,1696406,5021944
657,2021-10-19,Medigen,24333254,10602020,6234540,2474750,5021944
659,2021-10-21,AZ,25693254,11962020,6234540,2474750,5021944
660,2021-10-22,Pfizer,26520254,11962020,6234540,2474750,5848944
-1,,Japan,26820254,12262020,6234540,2474750,5848944
