brand,source,quantity,delivery_date,available_date,delivery_news,available_news
AZ,AZ,116500,2021-03-03,2021-03-19,https://www.cna.com.tw/news/firstnews/202103035003.aspx,https://www.cna.com.tw/news/firstnews/202103225002.aspx
AZ,COVAX,198600,2021-04-04,2021-04-13,https://www.cna.com.tw/news/firstnews/202104040008.aspx,https://www.cna.com.tw/news/firstnews/202104120047.aspx
AZ,COVAX,409800,2021-05-19,2021-05-27,https://www.cna.com.tw/news/firstnews/202105190224.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600326
Moderna,Moderna,148800,2021-05-28,2021-06-08,https://www.cna.com.tw/news/firstnews/202105285010.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600375
AZ,Japan,1237860,2021-06-04,2021-06-12,https://www.cna.com.tw/news/firstnews/202106045008.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600389
Moderna,Moderna,239400,2021-06-18,2021-06-26,https://www.cna.com.tw/news/firstnews/202106180294.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600409
Moderna,USA,2498440,2021-06-20,2021-06-29,https://www.cna.com.tw/news/firstnews/202106205005.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600416
Moderna,Moderna,409800,2021-06-30,2021-07-09,https://www.cna.com.tw/news/firstnews/202106305007.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600434
AZ,AZ,625900,2021-07-07,2021-07-15,https://www.cna.com.tw/news/firstnews/202107070181.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600446
AZ,Japan,1131780,2021-07-08,2021-07-16,https://www.cna.com.tw/news/firstnews/202107085007.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600448
AZ,Japan,973480,2021-07-15,2021-07-23,https://www.cna.com.tw/news/firstnews/202107155011.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600455
AZ,AZ,560100,2021-07-15,2021-07-23,https://www.cna.com.tw/news/firstnews/202107150245.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600455
