date,discharged,hospitalized,death
2020-01-01,0,0,0
2020-01-02,0,0,0
2020-01-03,0,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,0
2020-01-10,0,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,1,0
2020-01-22,0,1,0
2020-01-23,0,1,0
2020-01-24,0,3,0
2020-01-25,0,3,0
2020-01-26,0,4,0
2020-01-27,0,5,0
2020-01-28,0,8,0
2020-01-29,0,8,0
2020-01-30,0,9,0
2020-01-31,0,10,0
2020-02-01,0,10,0
2020-02-02,0,10,0
2020-02-03,0,10,0
2020-02-04,0,11,0
2020-02-05,0,11,0
2020-02-06,1,15,0
2020-02-07,1,15,0
2020-02-08,1,16,0
2020-02-09,1,17,0
2020-02-10,1,17,0
2020-02-11,1,17,0
2020-02-12,1,17,0
2020-02-13,1,17,0
2020-02-14,1,17,0
2020-02-15,2,15,1
2020-02-16,2,17,1
2020-02-17,2,19,1
2020-02-18,2,19,1
2020-02-19,2,21,1
2020-02-20,2,21,1
2020-02-21,2,23,1
2020-02-22,2,23,1
2020-02-23,5,22,1
2020-02-24,5,24,1
2020-02-25,5,25,1
2020-02-26,5,26,1
2020-02-27,5,26,1
2020-02-28,9,24,1
2020-02-29,9,29,1
2020-03-01,12,27,1
2020-03-02,12,28,1
2020-03-03,12,29,1
2020-03-04,12,29,1
2020-03-05,12,31,1
2020-03-06,15,29,1
2020-03-07,15,29,1
2020-03-08,15,29,1
2020-03-09,15,29,1
2020-03-10,17,29,1
2020-03-11,17,30,1
2020-03-12,20,28,1
2020-03-13,20,29,1
2020-03-14,20,32,1
2020-03-15,20,38,1
2020-03-16,22,44,1
2020-03-17,22,54,1
2020-03-18,22,77,1
2020-03-19,26,81,1
2020-03-20,28,105,2
2020-03-21,28,123,2
2020-03-22,28,139,2
2020-03-23,29,164,2
2020-03-24,29,185,2
2020-03-25,29,204,2
2020-03-26,29,221,2
2020-03-27,30,235,2
2020-03-28,30,251,2
2020-03-29,39,254,5
2020-03-30,39,262,5
2020-03-31,39,278,5
2020-04-01,45,279,5
2020-04-02,50,284,5
2020-04-03,50,293,5
2020-04-04,50,300,5
2020-04-05,54,304,5
2020-04-06,57,311,5
2020-04-07,61,310,5
2020-04-08,67,307,5
2020-04-09,80,294,6
2020-04-10,91,285,6
