date,hospitalized
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,1.0
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,3.0
2020-01-25,3.0
2020-01-26,4.0
2020-01-27,5.0
2020-01-28,8.0
2020-01-29,8.0
2020-01-30,9.0
2020-01-31,10.0
2020-02-01,10.0
2020-02-02,10.0
2020-02-03,10.0
2020-02-04,11.0
2020-02-05,11.0
2020-02-06,15.0
2020-02-07,15.0
2020-02-08,16.0
2020-02-09,17.0
2020-02-10,17.0
2020-02-11,17.0
2020-02-12,17.0
2020-02-13,17.0
2020-02-14,17.0
2020-02-15,15.0
2020-02-16,17.0
2020-02-17,19.0
2020-02-18,19.0
2020-02-19,21.0
2020-02-20,21.0
2020-02-21,23.0
2020-02-22,23.0
2020-02-23,22.0
2020-02-24,24.0
2020-02-25,25.0
2020-02-26,26.0
2020-02-27,26.0
2020-02-28,24.0
2020-02-29,29.0
2020-03-01,27.0
2020-03-02,28.0
2020-03-03,29.0
2020-03-04,29.0
2020-03-05,31.0
2020-03-06,29.0
2020-03-07,29.0
2020-03-08,29.0
2020-03-09,29.0
2020-03-10,29.0
2020-03-11,30.0
2020-03-12,28.0
2020-03-13,29.0
2020-03-14,32.0
2020-03-15,38.0
2020-03-16,44.0
2020-03-17,54.0
2020-03-18,77.0
2020-03-19,81.0
2020-03-20,105.0
2020-03-21,123.0
2020-03-22,139.0
2020-03-23,164.0
2020-03-24,185.0
2020-03-25,204.0
2020-03-26,221.0
2020-03-27,235.0
2020-03-28,251.0
2020-03-29,254.0
2020-03-30,262.0
2020-03-31,278.0
2020-04-01,279.0
2020-04-02,284.0
2020-04-03,293.0
2020-04-04,300.0
2020-04-05,304.0
2020-04-06,311.0
2020-04-07,310.0
2020-04-08,307.0
2020-04-09,294.0
2020-04-10,285.0
2020-04-11,280.0
2020-04-12,273.0
2020-04-13,273.0
2020-04-14,263.0
2020-04-15,252.0
2020-04-16,234.0
2020-04-17,223.0
2020-04-18,214.0
2020-04-19,225.0
2020-04-20,213.0
2020-04-21,202.0
2020-04-22,184.0
2020-04-23,168.0
2020-04-24,158.0
2020-04-25,148.0
2020-04-26,142.0
2020-04-27,133.0
2020-04-28,116.0
2020-04-29,112.0
2020-04-30,101.0
2020-05-01,99.0
2020-05-02,102.0
2020-05-03,98.0
2020-05-04,98.0
2020-05-05,98.0
2020-05-06,94.0
2020-05-07,87.0
2020-05-08,79.0
2020-05-09,73.0
2020-05-10,67.0
2020-05-11,65.0
2020-05-12,61.0
2020-05-13,58.0
2020-05-14,50.0
2020-05-15,46.0
2020-05-16,44.0
2020-05-17,38.0
2020-05-18,35.0
2020-05-19,32.0
2020-05-20,31.0
2020-05-21,27.0
2020-05-22,26.0
2020-05-23,23.0
2020-05-24,20.0
2020-05-25,19.0
2020-05-26,18.0
2020-05-27,15.0
2020-05-28,14.0
2020-05-29,15.0
2020-05-30,14.0
2020-05-31,12.0
2020-06-01,9.0
2020-06-02,9.0
2020-06-03,8.0
2020-06-04,8.0
2020-06-05,7.0
2020-06-06,7.0
