county,total,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Keelung,306,0,0,0,0,131,171,4,0,0,0,0,0
Taipei,4602,0,0,0,1,2715,1745,141,0,0,0,0,0
New_Taipei,6571,0,0,0,2,3459,3023,87,0,0,0,0,0
Taoyuan,698,19,2,0,7,313,340,17,0,0,0,0,0
Hsinchu,108,0,0,0,0,20,82,6,0,0,0,0,0
Hsinchu_C,38,0,0,0,0,18,17,3,0,0,0,0,0
Miaoli,547,0,0,0,0,23,522,2,0,0,0,0,0
Taichung,194,0,0,0,0,128,64,2,0,0,0,0,0
Changhua,264,0,0,0,0,153,107,4,0,0,0,0,0
Nantou,37,0,0,0,0,19,18,0,0,0,0,0,0
Yunlin,21,0,0,0,0,11,10,0,0,0,0,0,0
Chiayi,18,0,0,0,0,8,10,0,0,0,0,0,0
Chiayi_C,9,0,0,0,0,7,2,0,0,0,0,0,0
Tainan,49,0,0,0,0,27,22,0,0,0,0,0,0
Kaohsiung,85,0,0,0,0,47,36,2,0,0,0,0,0
Pingtung,48,0,0,0,0,27,19,2,0,0,0,0,0
Yilan,96,0,0,0,0,67,29,0,0,0,0,0,0
Hualien,68,0,0,0,0,32,36,0,0,0,0,0,0
Taitung,22,0,0,0,0,14,8,0,0,0,0,0,0
Penghu,5,0,0,0,0,1,4,0,0,0,0,0,0
Kinmen,0,0,0,0,0,0,0,0,0,0,0,0,0
Matsu,4,0,0,0,0,4,0,0,0,0,0,0,0
