date,positivity,fatality
2021-01-01,0.0051,0.0088
2021-01-02,0.0053,0.0088
2021-01-03,0.0057,0.0087
2021-01-04,0.0057,0.0087
2021-01-05,0.0058,0.0087
2021-01-06,0.0061,0.0086
2021-01-07,0.0062,0.0086
2021-01-08,0.0061,0.0086
2021-01-09,0.0059,0.0085
2021-01-10,0.0053,0.0085
2021-01-11,0.0051,0.0085
2021-01-12,0.005,0.0085
2021-01-13,0.0049,0.0084
2021-01-14,0.0047,0.0084
2021-01-15,0.0045,0.0084
2021-01-16,0.0044,0.0083
2021-01-17,0.0046,0.0083
2021-01-18,0.0046,0.0083
2021-01-19,0.0046,0.0082
2021-01-20,0.0044,0.0082
2021-01-21,0.0044,0.0081
2021-01-22,0.0046,0.0081
2021-01-23,0.0046,0.008
2021-01-24,0.0045,0.008
2021-01-25,0.0043,0.008
2021-01-26,0.004,0.0079
2021-01-27,0.0038,0.0079
2021-01-28,0.0034,0.0079
2021-01-29,0.003,0.008
2021-01-30,0.0027,0.0081
2021-01-31,0.0024,0.0083
2021-02-01,0.0023,0.0084
2021-02-02,0.0022,0.0085
2021-02-03,0.0022,0.0088
2021-02-04,0.0022,0.0091
2021-02-05,0.0022,0.0092
2021-02-06,0.0022,0.0093
2021-02-07,0.0021,0.0095
2021-02-08,0.0021,0.0096
2021-02-09,0.0021,0.0097
2021-02-10,0.0023,0.0097
2021-02-11,0.0024,0.0097
2021-02-12,0.0024,0.0097
2021-02-13,0.0027,0.0096
2021-02-14,0.0029,0.0096
2021-02-15,0.0032,0.0096
2021-02-16,0.0032,0.0096
2021-02-17,0.0029,0.0096
2021-02-18,0.0026,0.0096
2021-02-19,0.0022,0.0096
2021-02-20,0.0018,0.0096
2021-02-21,0.0016,0.0096
2021-02-22,0.0013,0.0096
2021-02-23,0.0013,0.0096
2021-02-24,0.0014,0.0096
2021-02-25,0.0016,0.0095
2021-02-26,0.0019,0.0095
2021-02-27,0.0022,0.0095
2021-02-28,0.0025,0.0095
2021-03-01,0.003,0.0095
2021-03-02,0.0035,0.0094
2021-03-03,0.004,0.0094
2021-03-04,0.0041,0.0094
2021-03-05,0.0042,0.0096
2021-03-06,0.0043,0.0097
2021-03-07,0.0044,0.0098
2021-03-08,0.0046,0.0099
2021-03-09,0.0048,0.01
2021-03-10,0.0048,0.0102
2021-03-11,0.005,0.0103
2021-03-12,0.0054,0.0103
2021-03-13,0.0054,0.0102
2021-03-14,0.0053,0.0102
2021-03-15,0.0052,0.0102
2021-03-16,0.0049,0.0102
2021-03-17,0.0047,0.0101
2021-03-18,0.0049,0.0101
2021-03-19,0.005,0.0101
