symptom,age,value,label
fever,90s,0.04395040566043451,+4%
cough,90s,0.02242367540351336,+2%
asymptomatic,90s,-0.10014181891378134,-10%
dyspnea,90s,0.14688154850717722,+15%
throatache,90s,-0.07489637707562843,-7%
sneezing,90s,-0.03824452064302612,-4%
fatigue,90s,-0.053290228558438686,-5%
diarrhea,90s,-0.006146663482422658,-1%
headache,90s,-0.044031945215031634,-4%
soreness,90s,-0.017424800778534463,-2%
fever,80s,0.08556202204034748,+9%
cough,80s,0.0188014426173247,+2%
asymptomatic,80s,-0.13533069771891967,-14%
dyspnea,80s,0.20015653543965414,+20%
throatache,80s,-0.06947824309889414,-7%
sneezing,80s,-0.034504429233354325,-3%
fatigue,80s,0.1443907203929484,+14%
diarrhea,80s,-0.010997646755364528,-1%
headache,80s,-0.022278577902118585,-2%
soreness,80s,-0.031176556890242246,-3%
fever,70s,0.0803406171479493,+8%
cough,70s,0.0920432396147488,+9%
asymptomatic,70s,-0.14644268901205595,-15%
dyspnea,70s,0.1344730982671592,+13%
throatache,70s,-0.057034758680903165,-6%
sneezing,70s,-0.03468759716654033,-3%
fatigue,70s,0.10366605746926741,+10%
diarrhea,70s,0.027796228930177184,+3%
headache,70s,-0.02113607067509559,-2%
soreness,70s,0.037041352454118374,+4%
fever,60s,0.15977325452270577,+16%
cough,60s,0.1807295639453119,+18%
asymptomatic,60s,-0.20106011913772637,-20%
dyspnea,60s,0.1321059096229839,+13%
throatache,60s,0.00139906913680749,+0%
sneezing,60s,-0.014699654417718975,-1%
fatigue,60s,0.030769864648291904,+3%
diarrhea,60s,0.03316136713167089,+3%
headache,60s,-0.024826255218004793,-2%
soreness,60s,0.06294817302886775,+6%
fever,50s,0.008143954752811872,+1%
cough,50s,0.021795607161752006,+2%
asymptomatic,50s,-0.053903397627968024,-5%
dyspnea,50s,-0.019365354083783336,-2%
throatache,50s,0.09202501646421142,+9%
sneezing,50s,-0.002261808349482969,-0%
fatigue,50s,0.03422140657935612,+3%
diarrhea,50s,0.02916406429509237,+3%
headache,50s,-0.024573586847185202,-2%
soreness,50s,-0.004635172025242202,-0%
fever,40s,0.00899308827585409,+1%
cough,40s,-0.024649175783992273,-2%
asymptomatic,40s,0.017715019045352744,+2%
dyspnea,40s,-0.09490770519764592,-9%
throatache,40s,0.0590570886615003,+6%
sneezing,40s,0.035185301502052124,+4%
fatigue,40s,-0.015193500577718089,-2%
diarrhea,40s,0.023013521069353008,+2%
headache,40s,0.03199327120675341,+3%
soreness,40s,0.040666488743114876,+4%
fever,30s,-0.10195042675124857,-10%
cough,30s,-0.09773918025078823,-10%
asymptomatic,30s,0.17233775675161356,+17%
dyspnea,30s,-0.14401064381083553,-14%
throatache,30s,0.008588276691199258,+1%
sneezing,30s,0.016373074708777934,+2%
fatigue,30s,-0.0936470196797724,-9%
diarrhea,30s,-0.008280426174364407,-1%
headache,30s,0.014243657905454486,+1%
soreness,30s,-0.02480237281632961,-2%
fever,20s,-0.1911228573994524,-19%
cough,20s,-0.1462665489565536,-15%
asymptomatic,20s,0.30958437140533174,+31%
dyspnea,20s,-0.19377892290672177,-19%
throatache,20s,-0.01591164398005901,-2%
sneezing,20s,0.00024706858052021623,+0%
fatigue,20s,-0.10921660213382556,-11%
diarrhea,20s,-0.057470674915928076,-6%
headache,20s,0.005864296409580765,+1%
soreness,20s,-0.05173256906084497,-5%
fever,10s,-0.06606961161069146,-7%
cough,10s,-0.055147893715050925,-6%
asymptomatic,10s,0.030340006597856607,+3%
dyspnea,10s,-0.06015987941990511,-6%
throatache,10s,0.08702749732069277,+9%
sneezing,10s,0.10116522705181794,+10%
fatigue,10s,-0.05154743079343243,-5%
diarrhea,10s,-0.047565149415449426,-5%
headache,10s,0.15291200857358045,+15%
soreness,10s,-0.015264853143999516,-2%
fever,100s,-0.022680048446508793,-2%
cough,100s,-0.020995154535987076,-2%
asymptomatic,100s,-0.01957287375219723,-2%
dyspnea,100s,-0.013618079762656542,-1%
throatache,100s,-0.013042833973717017,-1%
sneezing,100s,-0.009961840748018641,-1%
fatigue,100s,0.10272254557839866,+10%
diarrhea,100s,-0.008563288578041,-1%
headache,100s,-0.007667945679128726,-1%
soreness,100s,-0.007328465998316348,-1%
fever,0s,-0.03550098619357829,-4%
cough,0s,-0.058247381057081125,-6%
asymptomatic,0s,0.07852978399360426,+8%
dyspnea,0s,-0.05825054882665264,-6%
throatache,0s,-0.05578996822351678,-6%
sneezing,0s,0.0076040184688252275,+1%
fatigue,0s,-0.039695647159236125,-4%
diarrhea,0s,-0.008139771508425125,-1%
headache,0s,-0.032799194303960756,-3%
soreness,0s,-0.03134708959702216,-3%
