date,imported,linked,unlinked,fleet,plane,unknown
2021-01-01,3,0,0,0,0,0
2021-01-02,0,0,0,0,0,0
2021-01-03,2,0,0,0,0,0
2021-01-04,2,0,0,0,0,0
2021-01-05,0,0,0,0,0,0
2021-01-06,1,0,0,0,0,0
2021-01-07,3,0,0,0,0,0
2021-01-08,0,1,0,0,0,0
2021-01-09,1,1,0,0,0,0
2021-01-10,2,0,0,0,0,0
2021-01-11,0,0,0,0,0,0
2021-01-12,0,0,0,0,0,0
2021-01-13,2,0,0,0,0,0
2021-01-14,0,2,0,0,0,0
2021-01-15,0,0,0,0,0,0
2021-01-16,0,1,1,0,0,0
2021-01-17,1,0,0,0,0,0
2021-01-18,2,2,0,0,0,0
2021-01-19,2,0,0,0,0,0
2021-01-20,1,1,0,0,0,0
2021-01-21,0,0,0,0,0,0
2021-01-22,3,0,0,0,0,0
2021-01-23,0,0,0,0,0,0
2021-01-24,2,0,0,0,0,0
2021-01-25,2,0,0,0,0,0
2021-01-26,0,0,0,0,0,0
2021-01-27,4,0,0,0,0,0
2021-01-28,1,1,0,0,0,0
2021-01-29,2,0,0,0,0,0
2021-01-30,1,0,0,0,0,0
2021-01-31,0,0,0,0,0,0
2021-02-01,0,1,0,0,0,0
2021-02-02,0,0,0,0,0,0
2021-02-03,0,0,0,0,0,0
2021-02-04,1,0,0,0,0,0
2021-02-05,0,0,0,0,0,0
2021-02-06,0,0,0,0,0,0
2021-02-07,0,1,0,0,0,0
2021-02-08,0,0,0,0,0,0
2021-02-09,1,0,0,0,0,0
2021-02-10,0,0,0,0,0,0
2021-02-11,0,0,0,0,0,0
2021-02-12,0,0,0,0,0,0
2021-02-13,1,0,0,0,0,0
2021-02-14,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0
2021-02-17,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0
2021-02-20,0,0,0,0,0,0
2021-02-21,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0
2021-02-23,0,0,0,0,0,0
2021-02-24,0,0,0,0,0,0
2021-02-25,0,0,0,0,0,0
2021-02-26,0,0,0,0,0,0
2021-02-27,0,0,0,0,0,0
2021-02-28,1,0,0,0,0,0
2021-03-01,3,0,0,0,0,0
2021-03-02,0,0,0,0,0,0
2021-03-03,0,0,0,0,0,0
2021-03-04,1,0,0,0,0,0
2021-03-05,1,0,0,0,0,0
2021-03-06,1,0,0,0,0,0
2021-03-07,0,0,0,0,0,0
2021-03-08,0,0,0,0,0,0
2021-03-09,0,0,0,0,0,0
2021-03-10,2,0,0,0,0,0
2021-03-11,0,0,0,0,0,0
2021-03-12,1,0,0,0,0,0
2021-03-13,2,0,0,0,0,0
2021-03-14,1,0,0,0,0,0
2021-03-15,0,0,0,0,0,0
2021-03-16,0,0,0,0,0,0
2021-03-17,0,0,0,0,0,0
2021-03-18,0,0,0,0,0,0
2021-03-19,0,0,0,0,0,0
2021-03-20,1,0,0,0,0,0
2021-03-21,1,0,0,0,0,0
2021-03-22,1,0,0,0,0,0
2021-03-23,1,0,0,0,0,0
2021-03-24,3,0,0,0,0,0
2021-03-25,1,0,0,0,0,0
2021-03-26,0,0,0,0,0,0
2021-03-27,0,0,0,0,0,0
2021-03-28,1,0,0,0,0,0
2021-03-29,2,0,0,0,0,0
2021-03-30,1,0,0,0,0,0
2021-03-31,0,0,0,0,0,0
2021-04-01,0,0,0,0,0,0
2021-04-02,1,0,0,0,0,0
2021-04-03,0,0,0,0,0,0
2021-04-04,1,0,0,0,0,0
2021-04-05,0,0,0,0,0,0
2021-04-06,1,0,0,0,0,0
2021-04-07,0,0,0,0,0,0
2021-04-08,1,0,0,0,0,0
2021-04-09,3,0,0,0,0,0
2021-04-10,0,0,0,0,0,0
2021-04-11,0,0,0,0,0,0
2021-04-12,1,0,0,0,0,0
2021-04-13,0,0,0,0,0,0
2021-04-14,0,0,0,0,0,0
2021-04-15,2,0,0,0,0,0
2021-04-16,1,0,0,0,0,0
2021-04-17,0,1,0,0,0,1
2021-04-18,0,0,0,0,0,2
2021-04-19,1,0,0,0,0,0
2021-04-20,1,0,0,0,0,0
2021-04-21,0,0,0,0,0,0
2021-04-22,2,1,0,0,0,0
2021-04-23,2,1,0,0,0,0
2021-04-24,5,0,0,0,0,1
2021-04-25,1,0,0,0,0,0
2021-04-26,1,2,0,0,0,0
2021-04-27,0,1,0,0,0,1
2021-04-28,2,2,0,0,0,0
2021-04-29,2,5,0,0,0,0
2021-04-30,1,1,0,0,0,0
2021-05-01,1,0,0,0,0,1
2021-05-02,1,4,0,0,0,1
2021-05-03,1,3,0,0,0,0
2021-05-04,0,0,0,0,0,1
2021-05-05,2,2,0,0,0,0
2021-05-06,0,5,0,0,0,1
2021-05-07,0,8,0,0,0,0
2021-05-08,0,5,0,0,0,0
2021-05-09,1,11,0,0,0,1
2021-05-10,2,13,0,0,0,0
2021-05-11,0,10,0,0,0,0
2021-05-12,0,15,0,0,0,0
2021-05-13,0,31,0,0,0,0
2021-05-14,0,39,0,0,0,0
2021-05-15,1,45,0,0,0,0
2021-05-16,0,40,0,0,0,0
2021-05-17,0,40,0,0,0,0
2021-05-18,1,44,0,0,0,0
2021-05-19,0,43,0,0,0,0
2021-05-20,0,48,0,0,0,0
2021-05-21,0,57,0,0,0,0
2021-05-22,0,52,0,0,0,0
2021-05-23,0,50,0,0,0,0
2021-05-24,0,51,0,0,0,0
2021-05-25,0,52,0,0,0,0
2021-05-26,0,40,0,0,0,0
2021-05-27,0,39,0,0,0,0
2021-05-28,0,32,0,0,0,0
2021-05-29,1,27,0,0,0,0
2021-05-30,0,36,0,0,0,0
2021-05-31,0,32,0,0,0,0
2021-06-01,0,29,0,0,0,0
2021-06-02,0,10,0,0,0,0
2021-06-03,0,21,0,0,0,0
2021-06-04,0,19,0,0,0,0
2021-06-05,0,16,0,0,0,0
2021-06-06,0,17,0,0,0,0
2021-06-07,1,14,0,0,0,0
2021-06-08,1,22,0,0,0,0
2021-06-09,2,11,0,0,0,0
2021-06-10,0,13,0,0,0,0
2021-06-11,2,9,0,0,0,0
2021-06-12,0,10,0,0,0,0
2021-06-13,0,15,0,0,0,0
2021-06-14,0,8,0,0,0,0
2021-06-15,0,12,0,0,0,0
2021-06-16,0,9,0,0,0,0
2021-06-17,0,7,0,0,0,0
2021-06-18,0,9,0,0,0,0
2021-06-19,1,11,0,0,0,0
2021-06-20,0,5,0,0,0,0
2021-06-21,1,6,0,0,0,0
2021-06-22,0,9,0,0,0,0
2021-06-23,0,4,0,0,0,0
2021-06-24,0,7,0,0,0,0
2021-06-25,0,4,0,0,0,0
2021-06-26,0,2,0,0,0,0
2021-06-27,0,4,0,0,0,0
2021-06-28,1,2,0,0,0,0
2021-06-29,0,4,0,0,0,0
2021-06-30,2,1,0,0,0,0
2021-07-01,1,1,0,0,0,0
2021-07-02,3,1,0,0,0,0
2021-07-03,0,2,0,0,0,0
2021-07-04,1,2,0,0,0,0
2021-07-05,1,0,0,0,0,0
2021-07-06,0,0,0,0,0,0
2021-07-07,0,0,0,0,0,0
2021-07-08,1,2,0,0,0,0
2021-07-09,1,1,0,0,0,0
2021-07-10,1,1,0,0,0,0
2021-07-11,3,1,0,0,0,0
2021-07-12,0,0,0,0,0,0
2021-07-13,1,1,0,0,0,0
2021-07-14,1,0,0,0,0,0
2021-07-15,1,1,0,0,0,0
2021-07-16,2,1,0,0,0,0
2021-07-17,1,0,0,0,0,0
2021-07-18,1,0,0,0,0,0
2021-07-19,3,0,0,0,0,0
2021-07-20,2,1,0,0,0,0
2021-07-21,2,2,0,0,0,0
2021-07-22,0,0,0,0,0,0
2021-07-23,0,15,0,0,0,0
2021-07-24,0,1,0,0,0,0
2021-07-25,1,1,0,0,0,0
2021-07-26,1,5,0,0,0,0
2021-07-27,0,3,0,0,0,0
2021-07-28,2,0,0,0,0,0
2021-07-29,0,1,0,0,0,0
2021-07-30,1,12,0,0,0,0
2021-07-31,0,1,0,0,0,0
2021-08-01,1,1,0,0,0,0
2021-08-02,0,0,0,0,0,0
2021-08-03,1,0,0,0,0,0
2021-08-04,1,0,0,0,0,0
2021-08-05,0,0,0,0,0,0
2021-08-06,0,0,0,0,0,0
